name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand
Mustang,/used-cars/for-sale/ford/mustang/2017/fm-my17/3569677,33990,"180,001 - 200,000",Automatic,Petrol,Coupe,20251105,brisbaneautogroup,2017,Ford
Fiesta,/used-cars/for-sale/ford/fiesta/2015/ambiente/wz-my15/3633172,6990,"180,001 - 200,000",Manual,Petrol,Hatchback,20251105,brisbaneautogroup,2015,Ford
2,/used-cars/for-sale/mazda/2/2011/neo/de-series-1-my11/3626067,7490,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251105,brisbaneautogroup,2011,Mazda
Micra,/used-cars/for-sale/nissan/micra/2016/st/k13-my15/3640748,7990,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251105,brisbaneautogroup,2016,Nissan
3,/used-cars/for-sale/mazda/3/2014/sp25-astina/bm-series/3649006,9990,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251105,brisbaneautogroup,2014,Mazda
1,/used-cars/for-sale/bmw/1-series/2014/118i/f20-my14/3644193,11990,"80,001 - 100,000",Automatic,Petrol,Hatchback,20251105,brisbaneautogroup,2014,BMW
A3,/used-cars/for-sale/audi/a3/2013/ambition/8v-four-wheel-drive/3615633,12990,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251105,brisbaneautogroup,2013,Audi
Accent,/used-cars/for-sale/hyundai/accent/2017/sport/rb6-my18/3665406,12990,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251105,brisbaneautogroup,2017,Hyundai
MG3,/used-cars/for-sale/mg/mg3/2022/core-nav/my22/3664390,14990,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251105,brisbaneautogroup,2022,MG
MG3,/used-cars/for-sale/mg/mg3/2022/core-nav/my22/3664419,14990,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251105,brisbaneautogroup,2022,MG
Corolla,/used-cars/for-sale/toyota/corolla/2014/ascent-sport/zre182r/3569701,15990,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251105,brisbaneautogroup,2014,Toyota
MG3,/used-cars/for-sale/mg/mg3/2023/core/my23/3660997,15990,"100,001 - 120,000",Automatic,Petrol,Hatchback,20251105,brisbaneautogroup,2023,MG
MG3,/used-cars/for-sale/mg/mg3/2023/core/my23/3664391,15990,"200,001+",Automatic,Petrol,Hatchback,20251105,brisbaneautogroup,2023,MG
,/used-cars/for-sale/mercedes-benz/b-class/2012/b200-blueefficiency/w246/3624885,16990,"200,001+",Automatic,Petrol,Hatchback,20251105,brisbaneautogroup,2012,Mercedes
,/used-cars/for-sale/mercedes-benz/b-class/2014/b200-cdi/w246/3660994,16990,"140,001 - 160,000",Automatic,Diesel,Hatchback,20251105,brisbaneautogroup,2014,Mercedes
i30,/used-cars/for-sale/hyundai/i30/2019/n-line/pd.3-my20/3668742,19990,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251105,brisbaneautogroup,2019,Hyundai
Cruze,/used-cars/for-sale/holden/cruze/2013/equipe/jh-series-ii-my14/3624676,7490,"180,001 - 200,000",Automatic,Petrol,Sedan,20251105,brisbaneautogroup,2013,Holden
Civic,/used-cars/for-sale/honda/civic/2011/vti/8th-gen-my10/3626256,7790,"160,001 - 180,000",Automatic,Petrol,Sedan,20251105,brisbaneautogroup,2011,Honda
6,/used-cars/for-sale/mazda/6/2008/classic/gh-series-1/3664420,8990,"120,001 - 140,000",Automatic,Petrol,Sedan,20251105,brisbaneautogroup,2008,Mazda
Falcon,/used-cars/for-sale/ford/falcon/2012/g6-ecoboost/fg-mkii/3618601,9490,"140,001 - 160,000",Automatic,Petrol,Sedan,20251105,brisbaneautogroup,2012,Ford
Lancer,/used-cars/for-sale/mitsubishi/lancer/2013/vr-x/cj-my14/3647733,9990,"80,001 - 100,000",Automatic,Petrol,Sedan,20251105,brisbaneautogroup,2013,Mitsubishi
Jetta,/used-cars/for-sale/volkswagen/jetta/2011/103tdi-comfortline/1b-my12/3657018,9990,"120,001 - 140,000",Automatic,Diesel,Sedan,20251105,brisbaneautogroup,2011,Volkswagen
Camry,/used-cars/for-sale/toyota/camry/2012/altise/asv50r/3645833,13990,"60,001 - 80,000",Automatic,Petrol,Sedan,20251105,brisbaneautogroup,2012,Toyota
Sonata,/used-cars/for-sale/hyundai/sonata/2016/premium/lf-my16/3665405,16990,"140,001 - 160,000",Automatic,Petrol,Sedan,20251105,brisbaneautogroup,2016,Hyundai
3,/used-cars/for-sale/mazda/3/2016/maxx/bm-series/3617943,17990,"120,001 - 140,000",Automatic,Petrol,Sedan,20251105,brisbaneautogroup,2016,Mazda
Elantra,/used-cars/for-sale/hyundai/elantra/2017/sr-turbo/ad-my17/3650550,18990,"160,001 - 180,000",Automatic,Petrol,Sedan,20251105,brisbaneautogroup,2017,Hyundai
Falcon,/used-cars/for-sale/ford/falcon/2012/xr6-turbo/fg-mkii/3640754,32990,"100,001 - 120,000",Automatic,Petrol,Sedan,20251105,brisbaneautogroup,2012,Ford
3,/used-cars/for-sale/bmw/3-series/2018/330i-sport-line/f30-lci/3664389,32990,"200,001+",Automatic,Petrol,Sedan,20251105,brisbaneautogroup,2018,BMW
ES,/used-cars/for-sale/lexus/es/2018/300h-sports-luxury/avv60r/3636967,39990,"200,001+",Automatic,Hybrid with Petrol,Sedan,20251105,brisbaneautogroup,2018,Lexus
,/used-cars/for-sale/mercedes-benz/e-class/2017/e350-d/w213/3624886,43990,"140,001 - 160,000",Automatic,Diesel,Sedan,20251105,brisbaneautogroup,2017,Mercedes
,/used-cars/for-sale/mercedes-benz/e-class/2019/e300/w213/3569700,51990,"140,001 - 160,000",Automatic,Petrol,Sedan,20251105,brisbaneautogroup,2019,Mercedes
