name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand
Ranger,https://www.cars24.com.au/buy-used-ford-ranger-car-19732216981824/,36290,"60,001 - 80,000",Automatic,Diesel,Cab Chassis,20251118,cars24,2020,Ford
Steed,https://www.cars24.com.au/buy-used-gwm-steed-car-19663100068736/,15190,"40,001 - 60,000",Manual,Diesel,Cab Chassis,20251118,cars24,2021,GWM
Arkana,https://www.cars24.com.au/buy-used-renault-arkana-car-19869781099328/,19890,"60,001 - 80,000",Automatic,Petrol,Coupe,20251118,cars24,2023,Renault
Arkana,https://www.cars24.com.au/buy-used-renault-arkana-car-19925739756544/,21990,"40,001 - 60,000",Automatic,Petrol,Coupe,20251118,cars24,2023,Renault
Arkana,https://www.cars24.com.au/buy-used-renault-arkana-car-18519629992832/,20795,"120,001 - 140,000",Automatic,Petrol,Coupe,20251118,cars24,2022,Renault
1,https://www.cars24.com.au/buy-used-bmw-1-car-16825346466752/,38699,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251118,cars24,2021,BMW
Mg3,https://www.cars24.com.au/buy-used-mg-mg3-hybrid+-car-19506164816064/,24290,"40,001 - 60,000",Automatic,Hybrid,Hatchback,20251118,cars24,2024,MG
Mg3,https://www.cars24.com.au/buy-used-mg-mg3-auto-car-19368973321472/,15190,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251118,cars24,2022,MG
Polo,https://www.cars24.com.au/buy-used-volkswagen-polo-car-18566072769024/,14790,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251118,cars24,2015,Volkswagen
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19630613717120/,15690,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251118,cars24,2016,Toyota
3,https://www.cars24.com.au/buy-used-mazda-3-car-19888594290048/,29790,"100,001 - 120,000",Automatic,Petrol,Hatchback,20251118,cars24,2024,Mazda
Scala,https://www.cars24.com.au/buy-used-skoda-scala-car-18939570466368/,19990,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251118,cars24,2021,SKODA
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19414030516416/,27090,"60,001 - 80,000",Automatic,Hybrid,Hatchback,20251118,cars24,2021,Toyota
Yaris,https://www.cars24.com.au/buy-used-toyota-yaris-car-19787114523136/,19490,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251118,cars24,2019,Toyota
