name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand
86,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Toyota-86/34060689,32999,"200,001+",Manual,Petrol,Coupe,20251119,cheapcarco,2013,Toyota
2,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Mazda-2/34109794,11999,"200,001+",Automatic,Petrol,Hatchback,20251119,cheapcarco,2014,Mazda
A5,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Audi-A5/34106793,14999,"200,001+",Automatic,Petrol,Hatchback,20251119,cheapcarco,2013,Audi
Accent,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Hyundai-Accent/34109192,13999,"200,001+",Automatic,Petrol,Hatchback,20251119,cheapcarco,2018,Hyundai
Accent,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Hyundai-Accent/34112131,10999,"200,001+",Manual,Petrol,Hatchback,20251119,cheapcarco,2018,Hyundai
Barina,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Holden-Barina/34083169,9999,"200,001+",Automatic,Petrol,Hatchback,20251119,cheapcarco,2014,Holden
Civic,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2012-Honda-Civic/34087720,11999,"200,001+",Automatic,Petrol,Hatchback,20251119,cheapcarco,2012,Honda
Clio,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Renault-Clio/34040751,12999,"200,001+",Automatic,Petrol,Hatchback,20251119,cheapcarco,2016,Renault
Corolla,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2024-Toyota-Corolla/34116524,29999,"200,001+",Automatic,Petrol,Hatchback,20251119,cheapcarco,2024,Toyota
Dualis,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2012-Nissan-Dualis/34084757,11999,"200,001+",Automatic,Petrol,Hatchback,20251119,cheapcarco,2012,Nissan
Elantra,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2003-Hyundai-Elantra/34076069,6999,"180,001 - 200,000",Automatic,Petrol,Hatchback,20251119,cheapcarco,2003,Hyundai
Fiesta,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2012-Ford-Fiesta/34119243,7999,"200,001+",Automatic,Petrol,Hatchback,20251119,cheapcarco,2012,Ford
Golf,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Volkswagen-Golf/34120318,13999,"200,001+",Automatic,Petrol,Hatchback,20251119,cheapcarco,2018,Volkswagen
Golf,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Volkswagen-Golf/34114128,8999,"200,001+",Automatic,Diesel,Hatchback,20251119,cheapcarco,2013,Volkswagen
Hatch,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2007-Mini-Hatch/34117667,8999,"60,001 - 80,000",Manual,Petrol,Hatchback,20251119,cheapcarco,2007,Mini
i20,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2012-Hyundai-i20/34115500,9999,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251119,cheapcarco,2012,Hyundai
i20,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Hyundai-i20/34023266,6999,"200,001+",Automatic,Petrol,Hatchback,20251119,cheapcarco,2013,Hyundai
i30,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Hyundai-i30/34083074,6999,"200,001+",Manual,Diesel,Hatchback,20251119,cheapcarco,2008,Hyundai
i30,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2009-Hyundai-i30/34125976,9999,"200,001+",Automatic,Petrol,Hatchback,20251119,cheapcarco,2009,Hyundai
i30,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Hyundai-i30/34023265,12999,"200,001+",Automatic,Petrol,Hatchback,20251119,cheapcarco,2018,Hyundai
Impreza,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Subaru-Impreza/34012788,16999,"80,001 - 100,000",Automatic,Petrol,Hatchback,20251119,cheapcarco,2017,Subaru
Juke,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2023-Nissan-Juke/34045711,21999,"200,001+",Automatic,Petrol,Hatchback,20251119,cheapcarco,2023,Nissan
MG6,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-MG-MG6/33995437,11999,"180,001 - 200,000",Automatic,Petrol,Hatchback,20251119,cheapcarco,2017,MG
Mirage,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2019-Mitsubishi-Mirage/34090142,14999,"200,001+",Automatic,Petrol,Hatchback,20251119,cheapcarco,2019,Mitsubishi
Pulsar,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Nissan-Pulsar/34087725,10999,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251119,cheapcarco,2014,Nissan
