name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date
2013 Holden Cruze Equipe JH Series II MY14,/used-cars/for-sale/holden/cruze/2013/equipe/jh-series-ii-my14/3624676,"$7,490","130,250 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,Sedan,20251103
2015 Hyundai Accent Active RB3 MY16,/used-cars/for-sale/hyundai/accent/2015/active/rb3-my16/3615640,"$7,690","197,242 Kms",6 SP Constantly Variable,Petrol - Unleaded ULP,Sedan,20251103
2011 Honda Civic VTi 8th Gen MY10,/used-cars/for-sale/honda/civic/2011/vti/8th-gen-my10/3626256,"$7,790","215,897 Kms",5 SP Automatic,Petrol - Unleaded ULP,Sedan,20251103
2012 Ford Falcon G6 EcoBoost FG MkII,/used-cars/for-sale/ford/falcon/2012/g6-ecoboost/fg-mkii/3618601,"$9,490","267,131 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,Sedan,20251103
2013 Mitsubishi Lancer VR-X CJ MY14,/used-cars/for-sale/mitsubishi/lancer/2013/vr-x/cj-my14/3647733,"$9,990","181,959 Kms",6 SP Constantly Variable,Petrol - Unleaded ULP,Sedan,20251103
2011 Volkswagen Jetta 103TDI Comfortline 1B MY12,/used-cars/for-sale/volkswagen/jetta/2011/103tdi-comfortline/1b-my12/3657018,"$9,990","139,145 Kms",6 SP Sports Automatic Dual Clutch,Diesel,Sedan,20251103
2012 Toyota Camry Altise ASV50R,/used-cars/for-sale/toyota/camry/2012/altise/asv50r/3645833,"$13,990","99,838 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,Sedan,20251103
2016 Mazda 3 Maxx BM Series,/used-cars/for-sale/mazda/3/2016/maxx/bm-series/3617943,"$17,990","72,207 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,Sedan,20251103
2017 Hyundai Elantra SR Turbo AD MY17,/used-cars/for-sale/hyundai/elantra/2017/sr-turbo/ad-my17/3650550,"$18,990","87,142 Kms",7 SP Sports Automatic Dual Clutch,Petrol - Unleaded ULP,Sedan,20251103
2012 Ford Falcon XR6 Turbo FG MkII,/used-cars/for-sale/ford/falcon/2012/xr6-turbo/fg-mkii/3640754,"$32,990","174,916 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,Sedan,20251103
2018 Lexus ES 300h Sports Luxury AVV60R,/used-cars/for-sale/lexus/es/2018/300h-sports-luxury/avv60r/3636967,"$39,990","79,871 Kms",1 SP Constantly Variable,Hybrid with Petrol - Unleaded ULP,Sedan,20251103
2017 Mercedes-Benz E-Class E350 d W213,/used-cars/for-sale/mercedes-benz/e-class/2017/e350-d/w213/3624886,"$43,990","87,821 Kms",9 SP Sports Automatic,Diesel,Sedan,20251103
2019 Mercedes-Benz E-Class E300 W213,/used-cars/for-sale/mercedes-benz/e-class/2019/e300/w213/3569700,"$51,990","66,103 Kms",9 SP Sports Automatic,Petrol - Premium ULP,Sedan,20251103
