name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date
2009 Nissan Navara ST-X D40 4X4 Dual Range,/used-cars/for-sale/nissan/navara/2009/st-x/d40-4x4-dual-range/3647732,"$11,990","203,607 Kms",5 SP Automatic,Diesel,Ute,20251103
2019 LDV T60 PRO SK8C 4X4 Dual Range,/used-cars/for-sale/ldv/t60/2019/pro/sk8c-4x4-dual-range/3643407,"$16,990","101,453 Kms",6 SP Manual,Diesel,Ute,20251103
2013 Holden Ute  VF MY14,/used-cars/for-sale/holden/ute/2013/vf-my14/3645002,"$16,990","162,773 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,Ute,20251103
2013 Volkswagen Amarok TDI420 Trendline 2H MY14 4X4 Constant,/used-cars/for-sale/volkswagen/amarok/2013/tdi420-trendline/2h-my14-4x4-constant/3644192,"$17,990","123,185 Kms",8 SP Automatic,Diesel,Ute,20251103
2017 Volkswagen Amarok TDI550 Highline 2H MY17 4X4 Constant,/used-cars/for-sale/volkswagen/amarok/2017/tdi550-highline/2h-my17-4x4-constant/3597834,"$22,490","182,735 Kms",8 SP Automatic,Diesel,Ute,20251103
2015 Holden Colorado LS-X RG MY16 4X4 Dual Range,/used-cars/for-sale/holden/colorado/2015/ls-x/rg-my16-4x4-dual-range/3636957,"$22,990","161,968 Kms",6 SP Sports Automatic,Diesel,Ute,20251103
2016 Holden Colorado Z71 RG MY17 4X4 Dual Range,/used-cars/for-sale/holden/colorado/2016/z71/rg-my17-4x4-dual-range/3626065,"$23,990","193,826 Kms",6 SP Sports Automatic,Diesel,Ute,20251103
2016 Ford Ranger XLT PX MkII 4X4 Dual Range,/used-cars/for-sale/ford/ranger/2016/xlt/px-mkii-4x4-dual-range/3605738,"$24,990","174,309 Kms",6 SP Sports Automatic,Diesel,Ute,20251103
2015 Mazda BT-50 XTR UP 4X4 Dual Range,/used-cars/for-sale/mazda/bt-50/2015/xtr/up-4x4-dual-range/3647910,"$24,990","186,076 Kms",6 SP Sports Automatic,Diesel,Ute,20251103
2015 Nissan Navara ST-X D23 4x2,/used-cars/for-sale/nissan/navara/2015/st-x/d23-4x2/3649165,"$24,990","142,869 Kms",7 SP Sports Automatic,Diesel,Ute,20251103
2022 LDV T60 Max PRO SK8C 4X4 Dual Range,/used-cars/for-sale/ldv/t60/2022/max-pro/sk8c-4x4-dual-range/3615635,"$26,990","76,196 Kms",8 SP Sports Automatic,Diesel,Ute,20251103
2019 Nissan Navara RX D23 Series 3 4X4 Dual Range,/used-cars/for-sale/nissan/navara/2019/rx/d23-series-3-4x4-dual-range/3656662,"$27,990","90,432 Kms",7 SP Sports Automatic,Diesel,Ute,20251103
2018 Ford Ranger Raptor PX MkIII MY19 4X4 Dual Range,/used-cars/for-sale/ford/ranger/2018/raptor/px-mkiii-my19-4x4-dual-range/3605736,"$28,990","304,152 Kms",10 SP Sports Automatic,Diesel,Ute,20251103
2018 Holden Colorado LTZ RG MY19 4X4 Dual Range,/used-cars/for-sale/holden/colorado/2018/ltz/rg-my19-4x4-dual-range/3647008,"$28,990","144,504 Kms",6 SP Sports Automatic,Diesel,Ute,20251103
2016 Ford Ranger Wildtrak PX MkII 4X4 Dual Range,/used-cars/for-sale/ford/ranger/2016/wildtrak/px-mkii-4x4-dual-range/3647006,"$29,990","176,009 Kms",6 SP Sports Automatic,Diesel,Ute,20251103
2011 Nissan Patrol DX GU 6 Series II 4X4 Dual Range,/used-cars/for-sale/nissan/patrol/2011/dx/gu-6-series-ii-4x4-dual-range/3660996,"$29,990","90,542 Kms",5 SP Manual,Diesel,Ute,20251103
2017 Ford Ranger Wildtrak PX MkII 4X4 Dual Range,/used-cars/for-sale/ford/ranger/2017/wildtrak/px-mkii-4x4-dual-range/3643404,"$31,990","160,521 Kms",6 SP Sports Automatic,Diesel,Ute,20251103
2017 Toyota Landcruiser Workmate VDJ79R 4X4 Dual Range,/used-cars/for-sale/toyota/landcruiser/2017/workmate/vdj79r-4x4-dual-range/3647741,"$54,990","196,520 Kms",5 SP Manual,Diesel,Ute,20251103
