name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date
2020 Toyota Corolla MY20,https://www.cars24.com.au/buy-used-toyota-corolla-car-19630753571648/,"$20,090",115k kms,Automatic,Petrol,Hatchback,20251103
2022 Hyundai i30 MY22,https://www.cars24.com.au/buy-used-hyundai-i30-car-19561372344128/,"$33,990",21k kms,Automatic,Petrol,Hatchback,20251103
2021 Toyota Corolla MY21,https://www.cars24.com.au/buy-used-toyota-corolla-car-19414030516416/,"$27,990",29k kms,Automatic,Hybrid,Hatchback,20251103
2015 Volkswagen Polo MY15,https://www.cars24.com.au/buy-used-volkswagen-polo-car-18566072769024/,"$15,090",122k kms,Automatic,Petrol,Hatchback,20251103
,,,,,,Hatchback,20251103
2019 Toyota Corolla MY19,https://www.cars24.com.au/buy-used-toyota-corolla-car-19711212668736/,"$22,890",64k kms,Automatic,Petrol,Hatchback,20251103
2023 Mazda 3 MY23,https://www.cars24.com.au/buy-used-mazda-3-car-19799915670848/,"$28,490",14k kms,Automatic,Petrol,Hatchback,20251103
,,,,,,Hatchback,20251103
2023 Mazda 3 MY23,https://www.cars24.com.au/buy-used-mazda-3-car-19889932666304/,"$31,790",11k kms,Automatic,Petrol,Hatchback,20251103
2023 Mazda 2 MY23,https://www.cars24.com.au/buy-used-mazda-2-car-19787090668480/,"$21,890",24k kms,Automatic,Petrol,Hatchback,20251103
2022 Toyota Corolla MY22,https://www.cars24.com.au/buy-used-toyota-corolla-car-19414061518912/,"$26,990",57k kms,Automatic,Hybrid,Hatchback,20251103
2024 MG Mg3 Hybrid+ MY25,https://www.cars24.com.au/buy-used-mg-mg3-hybrid+-car-19506164816064/,"$24,590",25 kms,Automatic,Hybrid,Hatchback,20251103
2019 BMW 1 MY20,https://www.cars24.com.au/buy-used-bmw-1-car-18519133098432/,"$26,190",61k kms,Automatic,Petrol,Hatchback,20251103
2022 SKODA Scala MY22,https://www.cars24.com.au/buy-used-skoda-scala-car-18543165727936/,"$19,795",47k kms,Automatic,Petrol,Hatchback,20251103
2022 MG Mg3 Auto MY22,https://www.cars24.com.au/buy-used-mg-mg3-auto-car-19368973321472/,"$15,690",10k kms,Automatic,Petrol,Hatchback,20251103
2019 Volkswagen Golf MY20,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19414680310400/,"$17,490",89k kms,Automatic,Petrol,Hatchback,20251103
2018 Volkswagen Polo MY18,https://www.cars24.com.au/buy-used-volkswagen-polo-car-19458743743296/,"$13,490",115k kms,Automatic,Petrol,Hatchback,20251103
2021 Kia Cerato MY21,https://www.cars24.com.au/buy-used-kia-cerato-car-19715401371456/,"$28,090",36k kms,Automatic,Petrol,Hatchback,20251103
2021 Hyundai i30 MY22,https://www.cars24.com.au/buy-used-hyundai-i30-car-18511273944448/,"$21,395",70k kms,Manual,Petrol,Hatchback,20251103
2017 Mazda 3 MY17,https://www.cars24.com.au/buy-used-mazda-3-car-18518984987584/,"$15,490",108k kms,Automatic,Petrol,Hatchback,20251103
2017 Toyota Prius-c MY17,https://www.cars24.com.au/buy-used-toyota-prius-c-car-19323566440640/,"$19,090",85k kms,Automatic,Hybrid,Hatchback,20251103
2023 MG Mg4 MY23,https://www.cars24.com.au/buy-used-mg-mg4-car-19561486096000/,"$28,390",21k kms,Automatic,Electric,Hatchback,20251103
