name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,year_made,brand
370Z Z34 MY10 Grey 7 Speed Sports Automatic Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Nissan-370Z/34066689,18999,"160,001 - 180,000",Automatic,Petrol,Coupe,20251105,2010,Nissan
370Z Z34 MY10 Grey 7 Speed Sports Automatic Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Nissan-370Z/34066689,18999,"160,001 - 180,000",Automatic,Petrol,Coupe,20251105,2010,Nissan
370Z Z34 MY10 Grey 7 Speed Sports Automatic Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Nissan-370Z/34066689,18999,"160,001 - 180,000",Automatic,Petrol,Coupe,20251105,2010,Nissan
86 ZN6 GTS White 6 Speed Manual Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Toyota-86/34060689,34999,"140,001 - 160,000",Manual,Petrol,Coupe,20251105,2013,Toyota
86 ZN6 GTS White 6 Speed Manual Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Toyota-86/34060689,34999,"140,001 - 160,000",Manual,Petrol,Coupe,20251105,2013,Toyota
86 ZN6 GTS White 6 Speed Manual Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Toyota-86/34060689,34999,"140,001 - 160,000",Manual,Petrol,Coupe,20251105,2013,Toyota
CC Type 3CC MY13 125TDI DSG Grey 6 Speed Sports Automatic Dual Clutch Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2012-Volkswagen-CC/34047903,13999,"200,001+",Automatic,Diesel,Coupe,20251105,2012,Volkswagen
CC Type 3CC MY13 125TDI DSG Grey 6 Speed Sports Automatic Dual Clutch Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2012-Volkswagen-CC/34047903,13999,"200,001+",Automatic,Diesel,Coupe,20251105,2012,Volkswagen
CC Type 3CC MY13 125TDI DSG Grey 6 Speed Sports Automatic Dual Clutch Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2012-Volkswagen-CC/34047903,13999,"200,001+",Automatic,Diesel,Coupe,20251105,2012,Volkswagen
RCZ White 6 Speed Manual Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Peugeot-RCZ/33959247,9999,"200,001+",Manual,Petrol,Coupe,20251105,2010,Peugeot
RCZ White 6 Speed Manual Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Peugeot-RCZ/33959247,9999,"200,001+",Manual,Petrol,Coupe,20251105,2010,Peugeot
RCZ White 6 Speed Manual Coupe,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Peugeot-RCZ/33959247,9999,"200,001+",Manual,Petrol,Coupe,20251105,2010,Peugeot
2 DJ2HAA Genki SKYACTIV-Drive Blue 6 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Mazda-2/34043925,14999,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251105,2015,Mazda
2 DJ2HAA Genki SKYACTIV-Drive Blue 6 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Mazda-2/34043925,14999,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251105,2015,Mazda
2 DJ2HAA Genki SKYACTIV-Drive Blue 6 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Mazda-2/34043925,14999,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251105,2015,Mazda
Barina TM MY14 CD Blue 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Holden-Barina/34083169,9999,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251105,2014,Holden
Barina TM MY14 CD Blue 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Holden-Barina/34083169,9999,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251105,2014,Holden
Barina TM MY14 CD Blue 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Holden-Barina/34083169,9999,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251105,2014,Holden
Barina TM MY16 R Silver 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Holden-Barina/34019800,9999,"200,001+",Automatic,Petrol,Hatchback,20251105,2016,Holden
Barina TM MY16 R Silver 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Holden-Barina/34019800,9999,"200,001+",Automatic,Petrol,Hatchback,20251105,2016,Holden
Barina TM MY16 R Silver 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Holden-Barina/34019800,9999,"200,001+",Automatic,Petrol,Hatchback,20251105,2016,Holden
Barina TM MY16 X Black 5 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Holden-Barina/34043538,8999,"200,001+",Manual,Petrol,Hatchback,20251105,2015,Holden
Barina TM MY16 X Black 5 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Holden-Barina/34043538,8999,"200,001+",Manual,Petrol,Hatchback,20251105,2015,Holden
Barina TM MY16 X Black 5 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Holden-Barina/34043538,8999,"200,001+",Manual,Petrol,Hatchback,20251105,2015,Holden
Barina TM MY18 LS Grey 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Holden-Barina/34043374,11999,"0 - 20,000",Automatic,Petrol,Hatchback,20251105,2017,Holden
Barina TM MY18 LS Grey 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Holden-Barina/34043374,11999,"0 - 20,000",Automatic,Petrol,Hatchback,20251105,2017,Holden
Barina TM MY18 LS Grey 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Holden-Barina/34043374,11999,"0 - 20,000",Automatic,Petrol,Hatchback,20251105,2017,Holden
Civic 9th Gen MY13 VTi-S Blue 5 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Honda-Civic/34045514,13999,"100,001 - 120,000",Automatic,Petrol,Hatchback,20251105,2013,Honda
Civic 9th Gen MY13 VTi-S Blue 5 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Honda-Civic/34045514,13999,"100,001 - 120,000",Automatic,Petrol,Hatchback,20251105,2013,Honda
Civic 9th Gen MY13 VTi-S Blue 5 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Honda-Civic/34045514,13999,"100,001 - 120,000",Automatic,Petrol,Hatchback,20251105,2013,Honda
Civic 9th Gen MY14 VTi-S Silver 5 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Honda-Civic/34002780,9999,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251105,2014,Honda
Civic 9th Gen MY14 VTi-S Silver 5 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Honda-Civic/34002780,9999,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251105,2014,Honda
Civic 9th Gen MY14 VTi-S Silver 5 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Honda-Civic/34002780,9999,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251105,2014,Honda
Clio IV B98 Expression EDC White 6 Speed Sports Automatic Dual Clutch Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Renault-Clio/34040751,14999,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251105,2016,Renault
Clio IV B98 Expression EDC White 6 Speed Sports Automatic Dual Clutch Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Renault-Clio/34040751,14999,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251105,2016,Renault
Clio IV B98 Expression EDC White 6 Speed Sports Automatic Dual Clutch Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Renault-Clio/34040751,14999,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251105,2016,Renault
Corolla ZRE182R Levin S-CVT ZR Orange 7 Speed Constant Variable Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Toyota-Corolla/33983863,12999,"200,001+",Automatic,Petrol,Hatchback,20251105,2015,Toyota
Corolla ZRE182R Levin S-CVT ZR Orange 7 Speed Constant Variable Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Toyota-Corolla/33983863,12999,"200,001+",Automatic,Petrol,Hatchback,20251105,2015,Toyota
Corolla ZRE182R Levin S-CVT ZR Orange 7 Speed Constant Variable Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Toyota-Corolla/33983863,12999,"200,001+",Automatic,Petrol,Hatchback,20251105,2015,Toyota
Corolla ZZE122R 5Y Ascent Blue 4 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2007-Toyota-Corolla/33980745,6999,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251105,2007,Toyota
Corolla ZZE122R 5Y Ascent Blue 4 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2007-Toyota-Corolla/33980745,6999,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251105,2007,Toyota
Corolla ZZE122R 5Y Ascent Blue 4 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2007-Toyota-Corolla/33980745,6999,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251105,2007,Toyota
Cruze JH Series II MY16 Equipe White 6 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Holden-Cruze/34078557,11999,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251105,2016,Holden
Cruze JH Series II MY16 Equipe White 6 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Holden-Cruze/34078557,11999,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251105,2016,Holden
Cruze JH Series II MY16 Equipe White 6 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Holden-Cruze/34078557,11999,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251105,2016,Holden
Dualis J107 Series 4 MY13 +2 X-tronic AWD Ti-L Silver 6 Speed Constant Variable,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Nissan-Dualis/34066697,11999,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251105,2013,Nissan
Dualis J107 Series 4 MY13 +2 X-tronic AWD Ti-L Silver 6 Speed Constant Variable,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Nissan-Dualis/34066697,11999,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251105,2013,Nissan
Dualis J107 Series 4 MY13 +2 X-tronic AWD Ti-L Silver 6 Speed Constant Variable,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Nissan-Dualis/34066697,11999,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251105,2013,Nissan
Elantra XD GLS Yellow 4 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2003-Hyundai-Elantra/34076069,6999,"200,001+",Automatic,Petrol,Hatchback,20251105,2003,Hyundai
Elantra XD GLS Yellow 4 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2003-Hyundai-Elantra/34076069,6999,"200,001+",Automatic,Petrol,Hatchback,20251105,2003,Hyundai
Elantra XD GLS Yellow 4 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2003-Hyundai-Elantra/34076069,6999,"200,001+",Automatic,Petrol,Hatchback,20251105,2003,Hyundai
Hatch F55 Ray White 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Mini-Hatch/34030870,15999,"200,001+",Automatic,Petrol,Hatchback,20251105,2017,Mini
Hatch F55 Ray White 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Mini-Hatch/34030870,15999,"200,001+",Automatic,Petrol,Hatchback,20251105,2017,Mini
Hatch F55 Ray White 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Mini-Hatch/34030870,15999,"200,001+",Automatic,Petrol,Hatchback,20251105,2017,Mini
i30 FD MY09 SLX White 5 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Hyundai-i30/34083074,6999,"140,001 - 160,000",Manual,Diesel,Hatchback,20251105,2008,Hyundai
i30 FD MY09 SLX White 5 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Hyundai-i30/34083074,6999,"140,001 - 160,000",Manual,Diesel,Hatchback,20251105,2008,Hyundai
i30 FD MY09 SLX White 5 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Hyundai-i30/34083074,6999,"140,001 - 160,000",Manual,Diesel,Hatchback,20251105,2008,Hyundai
i30 FD MY11 SX Blue 4 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2011-Hyundai-i30/34078556,8999,"200,001+",Automatic,Petrol,Hatchback,20251105,2011,Hyundai
i30 FD MY11 SX Blue 4 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2011-Hyundai-i30/34078556,8999,"200,001+",Automatic,Petrol,Hatchback,20251105,2011,Hyundai
i30 FD MY11 SX Blue 4 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2011-Hyundai-i30/34078556,8999,"200,001+",Automatic,Petrol,Hatchback,20251105,2011,Hyundai
i30 PD MY18 Active Black 6 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Hyundai-i30/34023265,16999,"200,001+",Automatic,Petrol,Hatchback,20251105,2018,Hyundai
i30 PD MY18 Active Black 6 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Hyundai-i30/34023265,16999,"200,001+",Automatic,Petrol,Hatchback,20251105,2018,Hyundai
i30 PD MY18 Active Black 6 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Hyundai-i30/34023265,16999,"200,001+",Automatic,Petrol,Hatchback,20251105,2018,Hyundai
i30 PD MY18 Active Black 6 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Hyundai-i30/34075251,17999,"80,001 - 100,000",Automatic,Petrol,Hatchback,20251105,2017,Hyundai
i30 PD MY18 Active Black 6 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Hyundai-i30/34075251,17999,"80,001 - 100,000",Automatic,Petrol,Hatchback,20251105,2017,Hyundai
i30 PD MY18 Active Black 6 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Hyundai-i30/34075251,17999,"80,001 - 100,000",Automatic,Petrol,Hatchback,20251105,2017,Hyundai
i30 PD MY18 Active White 6 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Hyundai-i30/34076714,9999,"200,001+",Manual,Petrol,Hatchback,20251105,2017,Hyundai
i30 PD MY18 Active White 6 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Hyundai-i30/34076714,9999,"200,001+",Manual,Petrol,Hatchback,20251105,2017,Hyundai
i30 PD MY18 Active White 6 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Hyundai-i30/34076714,9999,"200,001+",Manual,Petrol,Hatchback,20251105,2017,Hyundai
Impreza G5 MY17 2.0i-S CVT AWD Black 7 Speed Constant Variable Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Subaru-Impreza/34012788,16999,"200,001+",Automatic,Petrol,Hatchback,20251105,2017,Subaru
Impreza G5 MY17 2.0i-S CVT AWD Black 7 Speed Constant Variable Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Subaru-Impreza/34012788,16999,"200,001+",Automatic,Petrol,Hatchback,20251105,2017,Subaru
Impreza G5 MY17 2.0i-S CVT AWD Black 7 Speed Constant Variable Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Subaru-Impreza/34012788,16999,"200,001+",Automatic,Petrol,Hatchback,20251105,2017,Subaru
Impreza G5 MY18 2.0i-S CVT AWD White 7 Speed Constant Variable Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Subaru-Impreza/34060877,19999,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251105,2018,Subaru
Impreza G5 MY18 2.0i-S CVT AWD White 7 Speed Constant Variable Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Subaru-Impreza/34060877,19999,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251105,2018,Subaru
Impreza G5 MY18 2.0i-S CVT AWD White 7 Speed Constant Variable Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Subaru-Impreza/34060877,19999,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251105,2018,Subaru
Juke F15 MY14 ST 2WD Grey 1 Speed Constant Variable Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Nissan-Juke/33983866,8999,"200,001+",Automatic,Petrol,Hatchback,20251105,2013,Nissan
Juke F15 MY14 ST 2WD Grey 1 Speed Constant Variable Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Nissan-Juke/33983866,8999,"200,001+",Automatic,Petrol,Hatchback,20251105,2013,Nissan
Juke F15 MY14 ST 2WD Grey 1 Speed Constant Variable Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Nissan-Juke/33983866,8999,"200,001+",Automatic,Petrol,Hatchback,20251105,2013,Nissan
Juke F16 MY23 ST DCT 2WD Grey 7 Speed Sports Automatic Dual Clutch Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2023-Nissan-Juke/34045711,23999,"200,001+",Automatic,Petrol,Hatchback,20251105,2023,Nissan
Juke F16 MY23 ST DCT 2WD Grey 7 Speed Sports Automatic Dual Clutch Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2023-Nissan-Juke/34045711,23999,"200,001+",Automatic,Petrol,Hatchback,20251105,2023,Nissan
Juke F16 MY23 ST DCT 2WD Grey 7 Speed Sports Automatic Dual Clutch Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2023-Nissan-Juke/34045711,23999,"200,001+",Automatic,Petrol,Hatchback,20251105,2023,Nissan
Mirage LA MY16 ES White 5 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Mitsubishi-Mirage/34066690,9999,"200,001+",Manual,Petrol,Hatchback,20251105,2016,Mitsubishi
Mirage LA MY16 ES White 5 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Mitsubishi-Mirage/34066690,9999,"200,001+",Manual,Petrol,Hatchback,20251105,2016,Mitsubishi
Mirage LA MY16 ES White 5 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Mitsubishi-Mirage/34066690,9999,"200,001+",Manual,Petrol,Hatchback,20251105,2016,Mitsubishi
Polo 6R MY13.5 77TSI Comfortline White 6 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Volkswagen-Polo/34034887,7999,"200,001+",Manual,Petrol,Hatchback,20251105,2013,Volkswagen
Polo 6R MY13.5 77TSI Comfortline White 6 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Volkswagen-Polo/34034887,7999,"200,001+",Manual,Petrol,Hatchback,20251105,2013,Volkswagen
Polo 6R MY13.5 77TSI Comfortline White 6 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Volkswagen-Polo/34034887,7999,"200,001+",Manual,Petrol,Hatchback,20251105,2013,Volkswagen
Swift RS415 Extreme Green 4 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Suzuki-Swift/34068055,7999,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251105,2010,Suzuki
