name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date
2015 Mazda 2 DJ2HAA Genki SKYACTIV-Drive Blue 6 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Mazda-2/34043925,"$14,999","128,819 Kms",Sports Automatic,Petrol - Unleaded,Hatchback,20251105
2015 Mazda 2 DJ2HAA Genki SKYACTIV-Drive Blue 6 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Mazda-2/34043925,"$14,999","128,819 Kms",Sports Automatic,Petrol - Unleaded,Hatchback,20251105
2015 Mazda 2 DJ2HAA Genki SKYACTIV-Drive Blue 6 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Mazda-2/34043925,"$14,999","128,819 Kms",Sports Automatic,Petrol - Unleaded,Hatchback,20251105
2014 Holden Barina TM MY14 CD Blue 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Holden-Barina/34083169,"$9,999","111,194 Kms",Automatic,Petrol - Unleaded,Hatchback,20251105
2014 Holden Barina TM MY14 CD Blue 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Holden-Barina/34083169,"$9,999","111,194 Kms",Automatic,Petrol - Unleaded,Hatchback,20251105
2014 Holden Barina TM MY14 CD Blue 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Holden-Barina/34083169,"$9,999","111,194 Kms",Automatic,Petrol - Unleaded,Hatchback,20251105
2016 Holden Barina TM MY16 R Silver 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Holden-Barina/34019800,"$9,999","129,714 Kms",Automatic,Petrol - Unleaded,Hatchback,20251105
2016 Holden Barina TM MY16 R Silver 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Holden-Barina/34019800,"$9,999","129,714 Kms",Automatic,Petrol - Unleaded,Hatchback,20251105
2016 Holden Barina TM MY16 R Silver 6 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Holden-Barina/34019800,"$9,999","129,714 Kms",Automatic,Petrol - Unleaded,Hatchback,20251105
2015 Holden Barina TM MY16 X Black 5 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Holden-Barina/34043538,"$8,999","125,431 Kms",Manual,Petrol - Unleaded,Hatchback,20251105
2015 Holden Barina TM MY16 X Black 5 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Holden-Barina/34043538,"$8,999","125,431 Kms",Manual,Petrol - Unleaded,Hatchback,20251105
2015 Holden Barina TM MY16 X Black 5 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Holden-Barina/34043538,"$8,999","125,431 Kms",Manual,Petrol - Unleaded,Hatchback,20251105
