name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,year_made,brand
Triton,https://www.cars24.com.au/buy-used-mitsubishi-triton-car-19387137716992/,33490,"100,001 - 120,000",Manual,Diesel,Cab Chassis,20251107,2021,Mitsubishi
Steed,https://www.cars24.com.au/buy-used-gwm-steed-car-19663100068736/,15490,"60,001 - 80,000",Manual,Diesel,Cab Chassis,20251107,2021,GWM
Arkana,https://www.cars24.com.au/buy-used-renault-arkana-car-18519629992832/,20995,"100,001 - 120,000",Automatic,Petrol,Coupe,20251107,2022,Renault
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19630753571648/,20090,"100,001 - 120,000",Automatic,Petrol,Hatchback,20251107,2020,Toyota
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-19561372344128/,33990,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251107,2022,Hyundai
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19414030516416/,27990,"40,001 - 60,000",Automatic,Hybrid,Hatchback,20251107,2021,Toyota
Polo,https://www.cars24.com.au/buy-used-volkswagen-polo-car-18566072769024/,15090,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251107,2015,Volkswagen
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19711212668736/,22890,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251107,2019,Toyota
3,https://www.cars24.com.au/buy-used-mazda-3-car-19799915670848/,28490,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251107,2023,Mazda
3,https://www.cars24.com.au/buy-used-mazda-3-car-19889932666304/,31790,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251107,2023,Mazda
2,https://www.cars24.com.au/buy-used-mazda-2-car-19787090668480/,21890,"0 - 20,000",Automatic,Petrol,Hatchback,20251107,2023,Mazda
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19414061518912/,26990,"40,001 - 60,000",Automatic,Hybrid,Hatchback,20251107,2022,Toyota
Mg3 Hybrid+,https://www.cars24.com.au/buy-used-mg-mg3-hybrid+-car-19506164816064/,24590,"0 - 20,000",Automatic,Hybrid,Hatchback,20251107,2024,MG
1,https://www.cars24.com.au/buy-used-bmw-1-car-18519133098432/,26190,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251107,2019,BMW
Scala,https://www.cars24.com.au/buy-used-skoda-scala-car-18543165727936/,19795,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251107,2022,SKODA
Mg3 Auto,https://www.cars24.com.au/buy-used-mg-mg3-auto-car-19368973321472/,15690,"80,001 - 100,000",Automatic,Petrol,Hatchback,20251107,2022,MG
