name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date
2013 Honda Accord 8th Gen MY12 VTi Red 5 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Honda-Accord/34066688,"$12,999","177,696 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2013 Honda Accord 8th Gen MY12 VTi Red 5 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Honda-Accord/34066688,"$12,999","177,696 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2013 Honda Accord 8th Gen MY12 VTi Red 5 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Honda-Accord/34066688,"$12,999","177,696 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2008 Toyota Aurion GSV40R Sportivo ZR6 Silver 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Toyota-Aurion/34083077,"$9,999","231,365 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2008 Toyota Aurion GSV40R Sportivo ZR6 Silver 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Toyota-Aurion/34083077,"$9,999","231,365 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2008 Toyota Aurion GSV40R Sportivo ZR6 Silver 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Toyota-Aurion/34083077,"$9,999","231,365 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251107
2010 Mercedes-Benz C-Class Grey Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Mercedes-Benz-C-Class/34078561,"$13,999","70,147 Kms",Petrol,,Sedan,20251107
2010 Mercedes-Benz C-Class Grey Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Mercedes-Benz-C-Class/34078561,"$13,999","70,147 Kms",Petrol,,Sedan,20251107
2010 Mercedes-Benz C-Class Grey Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Mercedes-Benz-C-Class/34078561,"$13,999","70,147 Kms",Petrol,,Sedan,20251107
2008 Toyota Camry ACV40R Ateva Black 5 Speed Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Toyota-Camry/34083170,"$11,999","167,385 Kms",Automatic,Petrol - Unleaded,Sedan,20251107
2008 Toyota Camry ACV40R Ateva Black 5 Speed Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Toyota-Camry/34083170,"$11,999","167,385 Kms",Automatic,Petrol - Unleaded,Sedan,20251107
2008 Toyota Camry ACV40R Ateva Black 5 Speed Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Toyota-Camry/34083170,"$11,999","167,385 Kms",Automatic,Petrol - Unleaded,Sedan,20251107
