name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date
2022 Toyota Corolla MY22,https://www.cars24.com.au/buy-used-toyota-corolla-car-19164625204032/,"$27,890",33k kms,Automatic,Hybrid,Hatchback,20251029
2021 Kia Cerato MY21,https://www.cars24.com.au/buy-used-kia-cerato-car-19715401371456/,"$28,290",36k kms,Automatic,Petrol,Hatchback,20251029
2024 MG Mg3 Hybrid+ MY25,https://www.cars24.com.au/buy-used-mg-mg3-hybrid+-car-19506164816064/,"$24,690",25 kms,Automatic,Hybrid,Hatchback,20251029
2024 Mazda 2 MY24,https://www.cars24.com.au/buy-used-mazda-2-car-19797753245056/,"$23,290",19k kms,Automatic,Petrol,Hatchback,20251029
,,,,,,Hatchback,20251029
2022 Toyota Corolla MY22,https://www.cars24.com.au/buy-used-toyota-corolla-car-19414061518912/,"$27,090",57k kms,Automatic,Hybrid,Hatchback,20251029
2023 MG Mg3 Auto MY23,https://www.cars24.com.au/buy-used-mg-mg3-auto-car-19176806876736/,"$16,390",6k kms,Automatic,Petrol,Hatchback,20251029
,,,,,,Hatchback,20251029
2020 Toyota Corolla MY20,https://www.cars24.com.au/buy-used-toyota-corolla-car-19630753571648/,"$20,090",115k kms,Automatic,Petrol,Hatchback,20251029
2022 Hyundai i30 MY22,https://www.cars24.com.au/buy-used-hyundai-i30-car-19561372344128/,"$33,990",21k kms,Automatic,Petrol,Hatchback,20251029
2020 Kia Cerato MY20,https://www.cars24.com.au/buy-used-kia-cerato-car-18700042448192/,"$20,290",59k kms,Automatic,Petrol,Hatchback,20251029
2019 BMW 1 MY20,https://www.cars24.com.au/buy-used-bmw-1-car-18519133098432/,"$26,190",61k kms,Automatic,Petrol,Hatchback,20251029
2020 Mazda 2 MY20,https://www.cars24.com.au/buy-used-mazda-2-car-18700122139776/,"$19,495",44k kms,Automatic,Petrol,Hatchback,20251029
2021 Hyundai i30 MY22,https://www.cars24.com.au/buy-used-hyundai-i30-car-18511273944448/,"$21,895",70k kms,Manual,Petrol,Hatchback,20251029
2022 SKODA Scala MY22,https://www.cars24.com.au/buy-used-skoda-scala-car-18543165727936/,"$19,795",47k kms,Automatic,Petrol,Hatchback,20251029
2017 Subaru Impreza MY17,https://www.cars24.com.au/buy-used-subaru-impreza-car-19110386401856/,"$18,890",92k kms,Automatic,Petrol,Hatchback,20251029
2022 MG Mg3 Auto MY22,https://www.cars24.com.au/buy-used-mg-mg3-auto-car-19222807250496/,"$14,790",25k kms,Automatic,Petrol,Hatchback,20251029
2021 SKODA Scala MY22,https://www.cars24.com.au/buy-used-skoda-scala-car-18939570466368/,"$20,495",43k kms,Automatic,Petrol,Hatchback,20251029
2015 Volkswagen Golf MY16,https://www.cars24.com.au/buy-used-volkswagen-golf-car-18791250270272/,"$20,690",101k kms,Automatic,Petrol,Hatchback,20251029
2022 Kia Cerato MY22,https://www.cars24.com.au/buy-used-kia-cerato-car-19085614740672/,"$24,890",44k kms,Automatic,Petrol,Hatchback,20251029
2019 Volkswagen Golf MY19,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19240737480384/,"$26,390",109k kms,Automatic,Petrol,Hatchback,20251029
2017 Mazda 3 MY17,https://www.cars24.com.au/buy-used-mazda-3-car-18518984987584/,"$15,490",108k kms,Automatic,Petrol,Hatchback,20251029
