name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date
2016 Hyundai Tucson,https://www.cars24.com.au/buy-used-hyundai-tucson-car-16878786225216/,"$19,795",88k kms,Automatic,Diesel,SUV,20251029
2022 MG Hs +ev,https://www.cars24.com.au/buy-used-mg-hs-+ev-car-17808737144576/,"$24,499",31 kms,Automatic,Hybrid,SUV,20251029
2017 Volkswagen Tiguan,https://www.cars24.com.au/buy-used-volkswagen-tiguan-car-17207924668608/,"$21,390",51k kms,Automatic,Petrol,SUV,20251029
2020 Toyota RAV4,https://www.cars24.com.au/buy-used-toyota-rav4-car-18224718831936/,"$30,999",123k kms,Automatic,Hybrid,SUV,20251029
,,,,,,SUV,20251029
2023 Mitsubishi Outlander,https://www.cars24.com.au/buy-used-mitsubishi-outlander-car-18159035899584/,"$31,499",25k kms,Automatic,Petrol,SUV,20251029
2020 BMW X1,https://www.cars24.com.au/buy-used-bmw-x1-car-17653013862720/,"$31,599",50k kms,Automatic,Petrol,SUV,20251029
,,,,,,SUV,20251029
2022 Toyota Kluger MY23,https://www.cars24.com.au/buy-used-toyota-kluger-car-18928818307392/,"$48,795",32k kms,Automatic,Hybrid,SUV,20251029
2021 Kia Sportage MY21,https://www.cars24.com.au/buy-used-kia-sportage-car-18609677977600/,"$24,790",73k kms,Automatic,Petrol,SUV,20251029
2022 Toyota C-HR MY22,https://www.cars24.com.au/buy-used-toyota-c-hr-car-19146162766912/,"$33,990",60k kms,Automatic,Hybrid,SUV,20251029
2022 Toyota C-HR MY22,https://www.cars24.com.au/buy-used-toyota-c-hr-car-19223594467904/,"$33,890",62k kms,Automatic,Hybrid,SUV,20251029
2023 Nissan X-trail MY24,https://www.cars24.com.au/buy-used-nissan-x-trail-car-19561636303552/,"$30,890",53k kms,Automatic,Petrol,SUV,20251029
2023 Toyota C-HR MY23,https://www.cars24.com.au/buy-used-toyota-c-hr-car-19549900247872/,"$36,290",62k kms,Automatic,Hybrid,SUV,20251029
2023 Mazda CX-8 MY23,https://www.cars24.com.au/buy-used-mazda-cx-8-car-19494504240000/,"$32,390",55k kms,Automatic,Petrol,SUV,20251029
2023 Renault Koleos MY23,https://www.cars24.com.au/buy-used-renault-koleos-car-18190328441728/,"$20,595",61k kms,Automatic,Petrol,SUV,20251029
2023 Mazda CX-5 MY23,https://www.cars24.com.au/buy-used-mazda-cx-5-car-19561598686976/,"$30,790",60k kms,Automatic,Petrol,SUV,20251029
2022 Kia Sportage MY22,https://www.cars24.com.au/buy-used-kia-sportage-car-19619807487616/,"$43,590",37k kms,Automatic,Diesel,SUV,20251029
2019 Honda HR-V MY19,https://www.cars24.com.au/buy-used-honda-hr-v-car-19659210296256/,"$24,390",53k kms,Automatic,Petrol,SUV,20251029
2021 MG Zst MY21,https://www.cars24.com.au/buy-used-mg-zst-car-19620150222848/,"$18,590",50k kms,Automatic,Petrol,SUV,20251029
2020 Nissan Qashqai MY21,https://www.cars24.com.au/buy-used-nissan-qashqai-car-19743173168064/,"$23,290",65k kms,Automatic,Petrol,SUV,20251029
2023 Toyota Corolla Cross MY23,https://www.cars24.com.au/buy-used-toyota-corolla-cross-car-19561571161216/,"$35,990",49k kms,Automatic,Hybrid,SUV,20251029
2023 Toyota Corolla Cross MY23,https://www.cars24.com.au/buy-used-toyota-corolla-cross-car-19776404245120/,"$32,690",44k kms,Automatic,Petrol,SUV,20251029
2020 Toyota RAV4 MY20,https://www.cars24.com.au/buy-used-toyota-rav4-car-19732144498944/,"$38,390",43k kms,Automatic,Hybrid,SUV,20251029
2023 Toyota RAV4 MY23,https://www.cars24.com.au/buy-used-toyota-rav4-car-19754272869248/,"$35,590",43k kms,Automatic,Petrol,SUV,20251029
2020 Toyota RAV4 MY20,https://www.cars24.com.au/buy-used-toyota-rav4-car-19732071631552/,"$39,790",29k kms,Automatic,Hybrid,SUV,20251029
2016 Kia Sorento MY17,https://www.cars24.com.au/buy-used-kia-sorento-car-19471250562880/,"$24,090",90k kms,Automatic,Diesel,SUV,20251029
2023 Toyota RAV4 MY23,https://www.cars24.com.au/buy-used-toyota-rav4-car-19662670807360/,"$42,390",55k kms,Automatic,Hybrid,SUV,20251029
2022 Mitsubishi Outlander MY23,https://www.cars24.com.au/buy-used-mitsubishi-outlander-car-19324542927680/,"$30,690",46k kms,Automatic,Petrol,SUV,20251029
2020 Haval H2 MY20,https://www.cars24.com.au/buy-used-haval-h2-car-19288277161984/,"$15,090",99k kms,Automatic,Petrol,SUV,20251029
2023 Toyota C-HR,https://www.cars24.com.au/buy-used-toyota-c-hr-car-18443036365760/,"$27,390",56k kms,Automatic,Petrol,SUV,20251029
2022 Toyota C-HR MY22,https://www.cars24.com.au/buy-used-toyota-c-hr-car-19223570062912/,"$33,190",69k kms,Automatic,Hybrid,SUV,20251029
2022 Kia Sportage MY22,https://www.cars24.com.au/buy-used-kia-sportage-car-19561370620672/,"$42,890",39k kms,Automatic,Diesel,SUV,20251029
2017 Kia Sorento MY18,https://www.cars24.com.au/buy-used-kia-sorento-car-19336904328512/,"$26,290",113k kms,Automatic,Diesel,SUV,20251029
2019 Ford Everest,https://www.cars24.com.au/buy-used-ford-everest-car-19201336711616/,"$36,390",89k kms,Automatic,Diesel,SUV,20251029
2018 Kia Sportage MY18,https://www.cars24.com.au/buy-used-kia-sportage-car-19732843244352/,"$16,990",126k kms,Automatic,Petrol,SUV,20251029
2018 Haval H9 MY18,https://www.cars24.com.au/buy-used-haval-h9-car-18860150170432/,"$23,390",67k kms,Automatic,Petrol,SUV,20251029
2020 Haval H2 MY20,https://www.cars24.com.au/buy-used-haval-h2-car-19474326761920/,"$16,290",51k kms,Automatic,Petrol,SUV,20251029
2020 Mitsubishi ASX MY21,https://www.cars24.com.au/buy-used-mitsubishi-asx-car-19497020953856/,"$22,790",56k kms,Automatic,Petrol,SUV,20251029
2022 MG HS MY22,https://www.cars24.com.au/buy-used-mg-hs-car-19617198482112/,"$21,490",72k kms,Automatic,Petrol,SUV,20251029
2021 MG HS MY21,https://www.cars24.com.au/buy-used-mg-hs-car-19756121771904/,"$20,490",53k kms,Automatic,Petrol,SUV,20251029
2022 MG HS MY22,https://www.cars24.com.au/buy-used-mg-hs-car-19549872854784/,"$19,290",51k kms,Automatic,Petrol,SUV,20251029
2022 Mazda CX-3 MY22,https://www.cars24.com.au/buy-used-mazda-cx-3-car-19711270915136/,"$24,690",43k kms,Automatic,Petrol,SUV,20251029
2017 Mazda CX-5 MY17,https://www.cars24.com.au/buy-used-mazda-cx-5-car-19268339303552/,"$23,090",90k kms,Automatic,Diesel,SUV,20251029
2015 Mazda CX-3 MY16,https://www.cars24.com.au/buy-used-mazda-cx-3-car-18352315459136/,"$17,495",64k kms,Automatic,Petrol,SUV,20251029
2018 Subaru Forester MY18,https://www.cars24.com.au/buy-used-subaru-forester-car-18522906531136/,"$22,495",104k kms,Automatic,Petrol,SUV,20251029
2016 Nissan Qashqai MY17,https://www.cars24.com.au/buy-used-nissan-qashqai-car-19238023528512/,"$15,290",109k kms,Automatic,Petrol,SUV,20251029
2020 Toyota RAV4 MY20,https://www.cars24.com.au/buy-used-toyota-rav4-car-19240738266816/,"$35,490",65k kms,Automatic,Hybrid,SUV,20251029
2022 Toyota Yaris Cross MY22,https://www.cars24.com.au/buy-used-toyota-yaris-cross-car-19572259359424/,"$30,290",55k kms,Automatic,Hybrid,SUV,20251029
2015 Suzuki Grand Vitara MY15,https://www.cars24.com.au/buy-used-suzuki-grand-vitara-car-19561601849472/,"$15,790",153k kms,Automatic,Petrol,SUV,20251029
