name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date
2022 Ford Ranger MY22,https://www.cars24.com.au/buy-used-ford-ranger-car-17978711947904/,"$46,399",71k kms,Automatic,Diesel,Ute,20251029
2022 GWM Ute,https://www.cars24.com.au/buy-used-gwm-ute-car-18145810754368/,"$26,690",56k kms,Automatic,Diesel,Ute,20251029
2024 GWM Cannon Alpha MY24,https://www.cars24.com.au/buy-used-gwm-cannon-alpha-car-18846730728704/,"$41,190",27k kms,Automatic,Diesel,Ute,20251029
2017 Volkswagen Amarok MY18,https://www.cars24.com.au/buy-used-volkswagen-amarok-car-19031469789248/,"$26,090",121k kms,Automatic,Diesel,Ute,20251029
,,,,,,Ute,20251029
2015 Mitsubishi Triton MY16,https://www.cars24.com.au/buy-used-mitsubishi-triton-car-18679795730240/,"$25,090",110k kms,Automatic,Diesel,Ute,20251029
2022 Ford Ranger MY22,https://www.cars24.com.au/buy-used-ford-ranger-car-19414270317568/,"$44,490",70k kms,Automatic,Diesel,Ute,20251029
,,,,,,Ute,20251029
2021 Ford Ranger MY21,https://www.cars24.com.au/buy-used-ford-ranger-car-19323507195904/,"$37,290",88k kms,Automatic,Diesel,Ute,20251029
2020 Ford Ranger MY20,https://www.cars24.com.au/buy-used-ford-ranger-car-18544054342016/,"$26,095",112k kms,Automatic,Diesel,Ute,20251029
2022 GWM Ute MY22,https://www.cars24.com.au/buy-used-gwm-ute-car-19311166157504/,"$26,295",71k kms,Automatic,Diesel,Ute,20251029
2017 Mitsubishi Triton MY17,https://www.cars24.com.au/buy-used-mitsubishi-triton-car-12258166261248/,"$27,278",122k kms,Automatic,Diesel,Ute,20251029
2020 Ford Ranger MY20,https://www.cars24.com.au/buy-used-ford-ranger-car-19583626578496/,"$33,290",95k kms,Automatic,Diesel,Ute,20251029
2018 Mitsubishi Triton MY19,https://www.cars24.com.au/buy-used-mitsubishi-triton-car-19150729971456/,"$31,890",45k kms,Manual,Diesel,Ute,20251029
2021 Ford Ranger MY21,https://www.cars24.com.au/buy-used-ford-ranger-car-19561529741440/,"$27,190",96k kms,Automatic,Diesel,Ute,20251029
