name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date
2016 Subaru Levorg,https://www.cars24.com.au/buy-used-subaru-levorg-car-18077693501632/,"$18,495",118k kms,Automatic,Petrol,Wagon,20251029
2021 Mercedes-benz Glb,https://www.cars24.com.au/buy-used-mercedes-benz-glb-car-17590721777024/,"$39,899",78k kms,Automatic,Petrol,Wagon,20251029
2018 Mercedes-benz GLA,https://www.cars24.com.au/buy-used-mercedes-benz-gla-car-17998770289344/,"$29,599",48k kms,Automatic,Petrol,Wagon,20251029
2022 GWM Haval H6 MY22,https://www.cars24.com.au/buy-used-gwm-haval-h6-car-18942518083648/,"$29,290",33k kms,Automatic,Hybrid,Wagon,20251029
,,,,,,Wagon,20251029
2024 GWM Haval Jolion MY24,https://www.cars24.com.au/buy-used-gwm-haval-jolion-car-19697549722624/,"$23,090",19k kms,Automatic,Petrol,Wagon,20251029
2023 Toyota Yaris Cross,https://www.cars24.com.au/buy-used-toyota-yaris-cross-car-19585143082880/,"$30,290",60k kms,Automatic,Hybrid,Wagon,20251029
,,,,,,Wagon,20251029
2023 Toyota Yaris Cross MY23,https://www.cars24.com.au/buy-used-toyota-yaris-cross-car-19585096552000/,"$30,290",60k kms,Automatic,Hybrid,Wagon,20251029
2022 Renault Captur MY22,https://www.cars24.com.au/buy-used-renault-captur-car-18474761085568/,"$18,095",48k kms,Automatic,Petrol,Wagon,20251029
2023 Kia Stonic MY24,https://www.cars24.com.au/buy-used-kia-stonic-car-19629641818368/,"$22,490",44k kms,Automatic,Petrol,Wagon,20251029
2023 Kia Stonic MY24,https://www.cars24.com.au/buy-used-kia-stonic-car-19791472012224/,"$20,990",58k kms,Automatic,Petrol,Wagon,20251029
2023 Volkswagen T-roc MY23,https://www.cars24.com.au/buy-used-volkswagen-t-roc-car-19553335794496/,"$25,690",50k kms,Automatic,Petrol,Wagon,20251029
2022 Volkswagen T-roc MY23,https://www.cars24.com.au/buy-used-volkswagen-t-roc-car-19585192627008/,"$27,190",44k kms,Automatic,Petrol,Wagon,20251029
2022 Peugeot 3008 MY22,https://www.cars24.com.au/buy-used-peugeot-3008-car-18997580898816/,"$23,990",59k kms,Automatic,Petrol,Wagon,20251029
