name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership
2014 Mazda 3 BM5236 SP25 SKYACTIV-MT Astina Silver 6 Speed Manual Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Mazda-3/34002783,"$7,999","248,433 Kms",Manual,Petrol - Unleaded,Sedan,20251106,cheapcarco
2014 Mazda 3 BM5236 SP25 SKYACTIV-MT Astina Silver 6 Speed Manual Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Mazda-3/34002783,"$7,999","248,433 Kms",Manual,Petrol - Unleaded,Sedan,20251106,cheapcarco
2014 Mazda 3 BM5236 SP25 SKYACTIV-MT Astina Silver 6 Speed Manual Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Mazda-3/34002783,"$7,999","248,433 Kms",Manual,Petrol - Unleaded,Sedan,20251106,cheapcarco
2013 Honda Accord 8th Gen MY12 VTi Red 5 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Honda-Accord/34066688,"$12,999","177,696 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251106,cheapcarco
2013 Honda Accord 8th Gen MY12 VTi Red 5 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Honda-Accord/34066688,"$12,999","177,696 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251106,cheapcarco
2013 Honda Accord 8th Gen MY12 VTi Red 5 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Honda-Accord/34066688,"$12,999","177,696 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251106,cheapcarco
2013 Nissan Almera N17 TI Blue 4 Speed Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Nissan-Almera/34087723,"$9,999","169,049 Kms",Automatic,Petrol - Unleaded,Sedan,20251106,cheapcarco
2013 Nissan Almera N17 TI Blue 4 Speed Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Nissan-Almera/34087723,"$9,999","169,049 Kms",Automatic,Petrol - Unleaded,Sedan,20251106,cheapcarco
2013 Nissan Almera N17 TI Blue 4 Speed Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Nissan-Almera/34087723,"$9,999","169,049 Kms",Automatic,Petrol - Unleaded,Sedan,20251106,cheapcarco
2008 Toyota Aurion GSV40R Sportivo ZR6 Silver 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Toyota-Aurion/34083077,"$9,999","231,365 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251106,cheapcarco
2008 Toyota Aurion GSV40R Sportivo ZR6 Silver 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Toyota-Aurion/34083077,"$9,999","231,365 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251106,cheapcarco
2008 Toyota Aurion GSV40R Sportivo ZR6 Silver 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Toyota-Aurion/34083077,"$9,999","231,365 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251106,cheapcarco
2010 Holden Berlina VE MY10 White 6 Speed Sports Automatic Sedan,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Holden-Berlina/34019798,"$7,999","280,940 Kms",Sports Automatic,Petrol - Unleaded,Sedan,20251106,cheapcarco
