name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership
2021 Mercedes-benz Glb,https://www.cars24.com.au/buy-used-mercedes-benz-glb-car-17590721777024/,"$39,499",78k kms,Automatic,Petrol,Wagon,20251110,cars24
2016 Subaru Levorg,https://www.cars24.com.au/buy-used-subaru-levorg-car-18077693501632/,"$18,395",118k kms,Automatic,Petrol,Wagon,20251110,cars24
2018 Mercedes-benz GLA,https://www.cars24.com.au/buy-used-mercedes-benz-gla-car-17998770289344/,"$29,499",48k kms,Automatic,Petrol,Wagon,20251110,cars24
2023 Toyota Yaris Cross MY23,https://www.cars24.com.au/buy-used-toyota-yaris-cross-car-19585096552000/,"$29,090",60k kms,Automatic,Hybrid,Wagon,20251110,cars24
,,,,,,Wagon,20251110,cars24
2018 Subaru Outback MY18,https://www.cars24.com.au/buy-used-subaru-outback-car-19252064329024/,"$20,390",133k kms,Automatic,Petrol,Wagon,20251110,cars24
2022 Renault Captur MY22,https://www.cars24.com.au/buy-used-renault-captur-car-18474761085568/,"$17,295",48k kms,Automatic,Petrol,Wagon,20251110,cars24
,,,,,,Wagon,20251110,cars24
2024 Cupra Formentor MY24,https://www.cars24.com.au/buy-used-cupra-formentor-car-19798122474496/,"$43,790",23k kms,Automatic,Petrol,Wagon,20251110,cars24
2023 Toyota Yaris Cross MY23,https://www.cars24.com.au/buy-used-toyota-yaris-cross-car-19730464033408/,"$30,490",55k kms,Automatic,Hybrid,Wagon,20251110,cars24
2023 Toyota Yaris Cross,https://www.cars24.com.au/buy-used-toyota-yaris-cross-car-19585143082880/,"$29,890",60k kms,Automatic,Hybrid,Wagon,20251110,cars24
2023 GWM Haval Jolion MY23,https://www.cars24.com.au/buy-used-gwm-haval-jolion-car-19823449342912/,"$27,890",9k kms,Automatic,Hybrid,Wagon,20251110,cars24
2021 Peugeot 2008 MY21,https://www.cars24.com.au/buy-used-peugeot-2008-car-18215134714944/,"$20,695",65k kms,Automatic,Petrol,Wagon,20251110,cars24
2022 MG Hs +ev MY23,https://www.cars24.com.au/buy-used-mg-hs-+ev-car-18566779529920/,"$26,099",17k kms,Automatic,Hybrid,Wagon,20251110,cars24
2022 Peugeot 3008 MY22,https://www.cars24.com.au/buy-used-peugeot-3008-car-18949769118784/,"$24,690",50k kms,Automatic,Petrol,Wagon,20251110,cars24
2023 Kia Stonic MY24,https://www.cars24.com.au/buy-used-kia-stonic-car-19490354256768/,"$22,090",38k kms,Automatic,Petrol,Wagon,20251110,cars24
2021 GWM Haval Jolion MY21,https://www.cars24.com.au/buy-used-gwm-haval-jolion-car-19346676401216/,"$19,990",69k kms,Automatic,Petrol,Wagon,20251110,cars24
2019 Subaru XV MY19,https://www.cars24.com.au/buy-used-subaru-xv-car-19325219521984/,"$24,690",60k kms,Automatic,Petrol,Wagon,20251110,cars24
2022 Volkswagen T-roc MY23,https://www.cars24.com.au/buy-used-volkswagen-t-roc-car-19572227902656/,"$26,890",49k kms,Automatic,Petrol,Wagon,20251110,cars24
2022 GWM Haval Jolion MY22,https://www.cars24.com.au/buy-used-gwm-haval-jolion-car-19716691904768/,"$20,090",60k kms,Automatic,Petrol,Wagon,20251110,cars24
2024 Mazda CX-3 MY24,https://www.cars24.com.au/buy-used-mazda-cx-3-car-19426702512128/,"$27,590",8k kms,Automatic,Petrol,Wagon,20251110,cars24
2012 Subaru XV MY12,https://www.cars24.com.au/buy-used-subaru-xv-car-18203301272576/,"$16,795",72k kms,Automatic,Petrol,Wagon,20251110,cars24
2021 Peugeot 2008 MY21,https://www.cars24.com.au/buy-used-peugeot-2008-car-18215134714944/,"$20,695",65k kms,Automatic,Petrol,Wagon,20251110,cars24
2022 MG Hs +ev MY23,https://www.cars24.com.au/buy-used-mg-hs-+ev-car-18566779529920/,"$26,099",17k kms,Automatic,Hybrid,Wagon,20251110,cars24
2012 Subaru XV MY12,https://www.cars24.com.au/buy-used-subaru-xv-car-18203301272576/,"$16,795",72k kms,Automatic,Petrol,Wagon,20251110,cars24
2021 GWM Haval Jolion MY21,https://www.cars24.com.au/buy-used-gwm-haval-jolion-car-19061901485952/,"$20,890",38k kms,Automatic,Petrol,Wagon,20251110,cars24
2020 Toyota Yaris Cross MY20,https://www.cars24.com.au/buy-used-toyota-yaris-cross-car-19063795082560/,"$29,495",41k kms,Automatic,Petrol,Wagon,20251110,cars24
2022 Volkswagen T-roc MY23,https://www.cars24.com.au/buy-used-volkswagen-t-roc-car-19572227902656/,"$26,890",49k kms,Automatic,Petrol,Wagon,20251110,cars24
2022 GWM Haval Jolion MY22,https://www.cars24.com.au/buy-used-gwm-haval-jolion-car-19716691904768/,"$20,090",60k kms,Automatic,Petrol,Wagon,20251110,cars24
2023 Kia Stonic MY24,https://www.cars24.com.au/buy-used-kia-stonic-car-19629641818368/,"$22,390",44k kms,Automatic,Petrol,Wagon,20251110,cars24
2023 Kia Stonic MY24,https://www.cars24.com.au/buy-used-kia-stonic-car-19791472012224/,"$20,690",58k kms,Automatic,Petrol,Wagon,20251110,cars24
2024 Mazda CX-3 MY24,https://www.cars24.com.au/buy-used-mazda-cx-3-car-19426702512128/,"$27,590",8k kms,Automatic,Petrol,Wagon,20251110,cars24
2022 Volkswagen T-roc MY23,https://www.cars24.com.au/buy-used-volkswagen-t-roc-car-19585192627008/,"$26,990",44k kms,Automatic,Petrol,Wagon,20251110,cars24
2022 Volkswagen T-roc MY23,https://www.cars24.com.au/buy-used-volkswagen-t-roc-car-19483809821824/,"$26,790",47k kms,Automatic,Petrol,Wagon,20251110,cars24
2020 Volkswagen T-cross MY20,https://www.cars24.com.au/buy-used-volkswagen-t-cross-car-19698478761088/,"$20,290",62k kms,Automatic,Petrol,Wagon,20251110,cars24
2022 Peugeot 3008 MY22,https://www.cars24.com.au/buy-used-peugeot-3008-car-18997580898816/,"$23,990",59k kms,Automatic,Petrol,Wagon,20251110,cars24
2023 Volkswagen T-roc MY23,https://www.cars24.com.au/buy-used-volkswagen-t-roc-car-19553335794496/,"$25,490",50k kms,Automatic,Petrol,Wagon,20251110,cars24
2017 Subaru XV MY18,https://www.cars24.com.au/buy-used-subaru-xv-car-19711124506944/,"$22,090",89k kms,Automatic,Petrol,Wagon,20251110,cars24
2022 Kia Carnival MY22,https://www.cars24.com.au/buy-used-kia-carnival-car-19776350506368/,"$41,490",49k kms,Automatic,Diesel,Wagon,20251110,cars24
2022 Renault Captur MY22,https://www.cars24.com.au/buy-used-renault-captur-car-18371707297856/,"$16,495",61k kms,Automatic,Petrol,Wagon,20251110,cars24
2022 GWM Haval H6 MY22,https://www.cars24.com.au/buy-used-gwm-haval-h6-car-19324252123840/,"$26,190",35k kms,Automatic,Petrol,Wagon,20251110,cars24
2023 MG ZS MY23,https://www.cars24.com.au/buy-used-mg-zs-car-19059073738624/,"$18,190",19k kms,Automatic,Petrol,Wagon,20251110,cars24
2022 GWM Haval H6 MY22,https://www.cars24.com.au/buy-used-gwm-haval-h6-car-18942518083648/,"$29,090",33k kms,Automatic,Hybrid,Wagon,20251110,cars24
2020 Volkswagen T-cross MY20,https://www.cars24.com.au/buy-used-volkswagen-t-cross-car-18475131048256/,"$18,695",76k kms,Automatic,Petrol,Wagon,20251110,cars24
2021 SKODA Kamiq MY22,https://www.cars24.com.au/buy-used-skoda-kamiq-car-19492966371328/,"$21,290",51k kms,Automatic,Petrol,Wagon,20251110,cars24
2017 Honda Odyssey MY17,https://www.cars24.com.au/buy-used-honda-odyssey-car-19223527882816/,"$23,090",122k kms,Automatic,Petrol,Wagon,20251110,cars24
2024 Hyundai Venue MY25,https://www.cars24.com.au/buy-used-hyundai-venue-car-19817393848448/,"$22,990",10k kms,Automatic,Petrol,Wagon,20251110,cars24
