name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership
2013 Holden Cruze Equipe JH Series II MY14,/used-cars/for-sale/holden/cruze/2013/equipe/jh-series-ii-my14/3624676,"$6,990","130,250 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,Sedan,20251113,brisbaneautogroup
2011 Honda Civic VTi 8th Gen MY10,/used-cars/for-sale/honda/civic/2011/vti/8th-gen-my10/3626256,"$7,490","215,897 Kms",5 SP Automatic,Petrol - Unleaded ULP,Sedan,20251113,brisbaneautogroup
2012 Ford Falcon G6 EcoBoost FG MkII,/used-cars/for-sale/ford/falcon/2012/g6-ecoboost/fg-mkii/3618601,"$8,990","267,131 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,Sedan,20251113,brisbaneautogroup
2011 Volkswagen Jetta 103TDI Comfortline 1B MY12,/used-cars/for-sale/volkswagen/jetta/2011/103tdi-comfortline/1b-my12/3657018,"$8,990","139,145 Kms",6 SP Sports Automatic Dual Clutch,Diesel,Sedan,20251113,brisbaneautogroup
2008 Mazda 6 Classic GH Series 1,/used-cars/for-sale/mazda/6/2008/classic/gh-series-1/3664420,"$8,990","192,586 Kms",5 SP Sports Automatic,Petrol - Premium ULP,Sedan,20251113,brisbaneautogroup
2016 Mazda 3 Maxx BM Series,/used-cars/for-sale/mazda/3/2016/maxx/bm-series/3617943,"$16,990","72,207 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,Sedan,20251113,brisbaneautogroup
2016 Hyundai Sonata Premium LF MY16,/used-cars/for-sale/hyundai/sonata/2016/premium/lf-my16/3665405,"$16,990","103,118 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,Sedan,20251113,brisbaneautogroup
2016 Kia Cerato S YD MY17,/used-cars/for-sale/kia/cerato/2016/s/yd-my17/3676955,"$16,990","72,210 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,Sedan,20251113,brisbaneautogroup
2017 Hyundai Elantra SR Turbo AD MY17,/used-cars/for-sale/hyundai/elantra/2017/sr-turbo/ad-my17/3650550,"$18,990","87,142 Kms",7 SP Sports Automatic Dual Clutch,Petrol - Unleaded ULP,Sedan,20251113,brisbaneautogroup
2016 Subaru WRX Premium VA MY17 AWD,/used-cars/for-sale/subaru/wrx/2016/premium/va-my17-awd/3676950,"$23,990","138,725 Kms",8 SP Constantly Variable,Petrol - Premium ULP,Sedan,20251113,brisbaneautogroup
2022 Toyota Camry Ascent AXVA70R,/used-cars/for-sale/toyota/camry/2022/ascent/axva70r/3676622,"$26,990","65,557 Kms",8 SP Sports Automatic,Petrol - Premium ULP,Sedan,20251113,brisbaneautogroup
2022 Toyota Camry Ascent AXVH70R,/used-cars/for-sale/toyota/camry/2022/ascent/axvh70r/3674621,"$31,990","88,019 Kms",6 SP Constantly Variable,Hybrid with Petrol - Premium ULP,Sedan,20251113,brisbaneautogroup
2012 Ford Falcon XR6 Turbo FG MkII,/used-cars/for-sale/ford/falcon/2012/xr6-turbo/fg-mkii/3640754,"$32,990","174,916 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,Sedan,20251113,brisbaneautogroup
2018 BMW 3 Series 330i Sport Line F30 LCI,/used-cars/for-sale/bmw/3-series/2018/330i-sport-line/f30-lci/3664389,"$32,990","57,697 Kms",8 SP Sports Automatic,Petrol - Premium ULP,Sedan,20251113,brisbaneautogroup
2018 Lexus ES 300h Sports Luxury AVV60R,/used-cars/for-sale/lexus/es/2018/300h-sports-luxury/avv60r/3636967,"$38,990","79,871 Kms",1 SP Constantly Variable,Hybrid with Petrol - Unleaded ULP,Sedan,20251113,brisbaneautogroup
2017 Mercedes-Benz E-Class E350 d W213,/used-cars/for-sale/mercedes-benz/e-class/2017/e350-d/w213/3624886,"$41,990","87,821 Kms",9 SP Sports Automatic,Diesel,Sedan,20251113,brisbaneautogroup
