name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership
2021 BMW 1 MY21,https://www.cars24.com.au/buy-used-bmw-1-car-16825346466752/,"$39,199",39k kms,Automatic,Petrol,Hatchback,20251113,cars24
2024 Toyota Corolla MY24,https://www.cars24.com.au/buy-used-toyota-corolla-car-19874866562880/,"$31,990",8k kms,Automatic,Hybrid,Hatchback,20251113,cars24
2020 Toyota Corolla MY20,https://www.cars24.com.au/buy-used-toyota-corolla-car-19936569000064/,"$30,790",58k kms,Automatic,Hybrid,Hatchback,20251113,cars24
2023 Mazda 3 MY23,https://www.cars24.com.au/buy-used-mazda-3-car-19889932666304/,"$31,590",11k kms,Automatic,Petrol,Hatchback,20251113,cars24
,,,,,,Hatchback,20251113,cars24
2017 Subaru Impreza MY18,https://www.cars24.com.au/buy-used-subaru-impreza-car-19311605249792/,"$18,890",89k kms,Automatic,Petrol,Hatchback,20251113,cars24
2016 Hyundai i30 MY17,https://www.cars24.com.au/buy-used-hyundai-i30-car-19869711860224/,"$13,890",121k kms,Automatic,Diesel,Hatchback,20251113,cars24
,,,,,,Hatchback,20251113,cars24
2024 MG Mg3 Hybrid+ MY25,https://www.cars24.com.au/buy-used-mg-mg3-hybrid+-car-19506164816064/,"$24,490",25 kms,Automatic,Hybrid,Hatchback,20251113,cars24
2017 Volkswagen Golf MY18,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19744051219072/,"$17,590",55k kms,Automatic,Petrol,Hatchback,20251113,cars24
2022 Toyota Corolla MY22,https://www.cars24.com.au/buy-used-toyota-corolla-car-19414061518912/,"$26,590",57k kms,Automatic,Hybrid,Hatchback,20251113,cars24
2021 Hyundai i30 MY22,https://www.cars24.com.au/buy-used-hyundai-i30-car-18511273944448/,"$21,195",70k kms,Manual,Petrol,Hatchback,20251113,cars24
2020 Volkswagen Golf MY20,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19631890359744/,"$25,890",62k kms,Automatic,Petrol,Hatchback,20251113,cars24
2021 Kia Cerato MY21,https://www.cars24.com.au/buy-used-kia-cerato-car-19715401371456/,"$27,790",36k kms,Automatic,Petrol,Hatchback,20251113,cars24
2022 MG Mg3 Auto MY22,https://www.cars24.com.au/buy-used-mg-mg3-auto-car-19368973321472/,"$15,490",10k kms,Automatic,Petrol,Hatchback,20251113,cars24
2019 Kia Cerato MY19,https://www.cars24.com.au/buy-used-kia-cerato-car-19337481175168/,"$19,090",70k kms,Automatic,Petrol,Hatchback,20251113,cars24
2023 MG Mg4 MY23,https://www.cars24.com.au/buy-used-mg-mg4-car-19561486096000/,"$28,090",21k kms,Automatic,Electric,Hatchback,20251113,cars24
