name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership
2022 Ford Ranger MY22,https://www.cars24.com.au/buy-used-ford-ranger-car-17978711947904/,"$45,890",71k kms,Automatic,Diesel,Ute,20251114,cars24
2022 GWM Ute,https://www.cars24.com.au/buy-used-gwm-ute-car-18145810754368/,"$26,390",56k kms,Automatic,Diesel,Ute,20251114,cars24
2024 GWM Cannon Alpha MY24,https://www.cars24.com.au/buy-used-gwm-cannon-alpha-car-18846730728704/,"$40,790",27k kms,Automatic,Diesel,Ute,20251114,cars24
2022 Ford Ranger MY22,https://www.cars24.com.au/buy-used-ford-ranger-car-19414270317568/,"$43,090",70k kms,Automatic,Diesel,Ute,20251114,cars24
,,,,,,Ute,20251114,cars24
2015 Mitsubishi Triton MY16,https://www.cars24.com.au/buy-used-mitsubishi-triton-car-18679795730240/,"$24,990",110k kms,Automatic,Diesel,Ute,20251114,cars24
2022 GWM Ute MY22,https://www.cars24.com.au/buy-used-gwm-ute-car-19311166157504/,"$25,595",71k kms,Automatic,Diesel,Ute,20251114,cars24
,,,,,,Ute,20251114,cars24
2020 Isuzu D-MAX MY21,https://www.cars24.com.au/buy-used-isuzu-d-max-car-19268104394816/,"$33,890",45k kms,Automatic,Diesel,Ute,20251114,cars24
2017 Mitsubishi Triton MY17,https://www.cars24.com.au/buy-used-mitsubishi-triton-car-12258166261248/,"$27,278",122k kms,Automatic,Diesel,Ute,20251114,cars24
2017 Volkswagen Amarok MY18,https://www.cars24.com.au/buy-used-volkswagen-amarok-car-19031469789248/,"$25,090",121k kms,Automatic,Diesel,Ute,20251114,cars24
2021 Ford Ranger MY21,https://www.cars24.com.au/buy-used-ford-ranger-car-19323507195904/,"$36,890",88k kms,Automatic,Diesel,Ute,20251114,cars24
