name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership
2014 Holden Captiva 5 LT CG MY15,/used-cars/for-sale/holden/captiva/2014/5-lt/cg-my15/3680249,"$9,990","151,595 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,SUV,20251115,brisbaneautogroup
2012 Nissan X-TRAIL ST T31 Series V,/used-cars/for-sale/nissan/x-trail/2012/st/t31-series-v/3664026,"$10,990","147,110 Kms",1 SP Constantly Variable,Petrol - Unleaded ULP,SUV,20251115,brisbaneautogroup
2013 Audi A3 Ambition 8V Four Wheel Drive,/used-cars/for-sale/audi/a3/2013/ambition/8v-four-wheel-drive/3615633,"$11,990","142,840 Kms",6 SP Sports Automatic Dual Clutch,Petrol - Premium ULP,SUV,20251115,brisbaneautogroup
2020 Hyundai Tucson Active TL4 MY20,/used-cars/for-sale/hyundai/tucson/2020/active/tl4-my20/3636966,"$11,990","280,709 Kms",6 SP Automatic,Petrol - Unleaded ULP,SUV,20251115,brisbaneautogroup
2009 Nissan Navara ST-X D40 4X4 Dual Range,/used-cars/for-sale/nissan/navara/2009/st-x/d40-4x4-dual-range/3647732,"$11,990","203,607 Kms",5 SP Automatic,Diesel,SUV,20251115,brisbaneautogroup
2016 Holden Trax LTZ TJ MY17,/used-cars/for-sale/holden/trax/2016/ltz/tj-my17/3649005,"$11,990","127,443 Kms",6 SP Automatic,Petrol - Premium ULP,SUV,20251115,brisbaneautogroup
2016 Hyundai Santa Fe Elite DM3 Series II MY17 4X4 On Demand,/used-cars/for-sale/hyundai/santa-fe/2016/elite/dm3-series-ii-my17-4x4-on-demand/3631350,"$12,990","206,908 Kms",6 SP Sports Automatic,Diesel,SUV,20251115,brisbaneautogroup
2016 Holden Trax LS TJ MY17,/used-cars/for-sale/holden/trax/2016/ls/tj-my17/3647739,"$12,990","71,816 Kms",6 SP Automatic,Petrol - Premium ULP,SUV,20251115,brisbaneautogroup
2015 Subaru Forester 2.0D-S S4 MY15 AWD,/used-cars/for-sale/subaru/forester/2015/2.0d-s/s4-my15-awd/3671237,"$12,990","227,199 Kms",7 SP Constantly Variable,Diesel,SUV,20251115,brisbaneautogroup
2014 Kia Sportage SLi SL Series II MY13 4X4 On Demand,/used-cars/for-sale/kia/sportage/2014/sli/sl-series-ii-my13-4x4-on-demand/3665403,"$13,990","156,134 Kms",6 SP Sports Automatic,Diesel,SUV,20251115,brisbaneautogroup
2013 Subaru Forester XT S4 MY13 AWD,/used-cars/for-sale/subaru/forester/2013/xt/s4-my13-awd/3682115,"$13,990","156,220 Kms",8 SP Constantly Variable,Petrol - Premium ULP,SUV,20251115,brisbaneautogroup
2015 Land Rover Discovery TDV6 Series 4 MY15 4X4 Dual Range,/used-cars/for-sale/land-rover/discovery/2015/tdv6/series-4-my15-4x4-dual-range/3605742,"$14,990","274,558 Kms",8 SP Sports Automatic,Diesel,SUV,20251115,brisbaneautogroup
2019 Ford Escape Trend ZG MY19.75 AWD,/used-cars/for-sale/ford/escape/2019/trend/zg-my19.75-awd/3680241,"$14,990","165,320 Kms",6 SP Sports Automatic,Petrol - Premium ULP,SUV,20251115,brisbaneautogroup
2014 Hyundai Santa Fe Elite DM MY14 4X4 On Demand,/used-cars/for-sale/hyundai/santa-fe/2014/elite/dm-my14-4x4-on-demand/3625073,"$16,990","122,344 Kms",6 SP Sports Automatic,Diesel,SUV,20251115,brisbaneautogroup
2017 Mitsubishi ASX LS XC MY18,/used-cars/for-sale/mitsubishi/asx/2017/ls/xc-my18/3629199,"$16,990","112,811 Kms",1 SP Constantly Variable,Petrol - Unleaded ULP,SUV,20251115,brisbaneautogroup
2016 Subaru XV 2.0i-S G4X MY16 AWD,/used-cars/for-sale/subaru/xv/2016/2.0i-s/g4x-my16-awd/3645003,"$17,490","117,538 Kms",6 SP Constantly Variable,Petrol - Unleaded ULP,SUV,20251115,brisbaneautogroup
2023 MG ZS Excite AZS1 MY23,/used-cars/for-sale/mg/zs/2023/excite/azs1-my23/3657423,"$17,490","56,134 Kms",4 SP Automatic,Petrol - Unleaded ULP,SUV,20251115,brisbaneautogroup
2023 MG ZS Excite AZS1 MY23,/used-cars/for-sale/mg/zs/2023/excite/azs1-my23/3657426,"$17,490","49,369 Kms",4 SP Automatic,Petrol - Unleaded ULP,SUV,20251115,brisbaneautogroup
2017 Mitsubishi ASX LS XC MY17,/used-cars/for-sale/mitsubishi/asx/2017/ls/xc-my17/3625074,"$17,990","105,906 Kms",6 SP Constantly Variable,Petrol - Unleaded ULP,SUV,20251115,brisbaneautogroup
