name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership
2014 Mazda 2 DE10Y2 MY14 Neo Sport Blue 4 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Mazda-2/34109794,"$11,999","118,733 Kms",Automatic,Petrol - Unleaded,Hatchback,20251115,cheapcarco
2014 Mazda 2 DE10Y2 MY14 Neo Sport Blue 4 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Mazda-2/34109794,"$11,999","118,733 Kms",Automatic,Petrol - Unleaded,Hatchback,20251115,cheapcarco
2014 Mazda 2 DE10Y2 MY14 Neo Sport Blue 4 Speed Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Mazda-2/34109794,"$11,999","118,733 Kms",Automatic,Petrol - Unleaded,Hatchback,20251115,cheapcarco
2013 Audi A5 8T MY13 Sportback S Tronic Quattro White 7 Speed Sports Automatic Dual Clutch Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Audi-A5/34106793,"$14,999","152,319 Kms",Sports Automatic Dual Clutch,Petrol - Premium ULP,Hatchback,20251115,cheapcarco
2013 Audi A5 8T MY13 Sportback S Tronic Quattro White 7 Speed Sports Automatic Dual Clutch Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Audi-A5/34106793,"$14,999","152,319 Kms",Sports Automatic Dual Clutch,Petrol - Premium ULP,Hatchback,20251115,cheapcarco
2013 Audi A5 8T MY13 Sportback S Tronic Quattro White 7 Speed Sports Automatic Dual Clutch Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Audi-A5/34106793,"$14,999","152,319 Kms",Sports Automatic Dual Clutch,Petrol - Premium ULP,Hatchback,20251115,cheapcarco
2018 Hyundai Accent RB6 MY18 Sport Silver 6 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Hyundai-Accent/34112131,"$10,999","163,085 Kms",Manual,Petrol - Unleaded,Hatchback,20251115,cheapcarco
2018 Hyundai Accent RB6 MY18 Sport Silver 6 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Hyundai-Accent/34112131,"$10,999","163,085 Kms",Manual,Petrol - Unleaded,Hatchback,20251115,cheapcarco
2018 Hyundai Accent RB6 MY18 Sport Silver 6 Speed Manual Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Hyundai-Accent/34112131,"$10,999","163,085 Kms",Manual,Petrol - Unleaded,Hatchback,20251115,cheapcarco
2018 Hyundai Accent RB6 MY18 Sport Blue 6 Speed Sports Automatic Hatchback,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Hyundai-Accent/34109192,"$13,999","93,737 Kms",Sports Automatic,Petrol - Unleaded,Hatchback,20251115,cheapcarco
