name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership
2022 Toyota C-HR MY22,https://www.cars24.com.au/buy-used-toyota-c-hr-car-19223570062912/,"$29,090",69k kms,Automatic,Hybrid,SUV,20251118,cars24
2021 Audi Q2 MY21,https://www.cars24.com.au/buy-used-audi-q2-car-19881587540096/,"$29,490",61k kms,Automatic,Petrol,SUV,20251118,cars24
2023 Toyota Corolla Cross MY23,https://www.cars24.com.au/buy-used-toyota-corolla-cross-car-18848897376640/,"$36,790",43k kms,Automatic,Hybrid,SUV,20251118,cars24
2019 Mitsubishi Outlander MY19,https://www.cars24.com.au/buy-used-mitsubishi-outlander-car-19653977325760/,"$24,690",89k kms,Automatic,Diesel,SUV,20251118,cars24
,,,,,,SUV,20251118,cars24
2022 MG HS MY22,https://www.cars24.com.au/buy-used-mg-hs-car-19617198482112/,"$20,990",72k kms,Automatic,Petrol,SUV,20251118,cars24
2017 Holden Trailblazer MY17,https://www.cars24.com.au/buy-used-holden-trailblazer-car-18938511272448/,"$25,990",93k kms,Automatic,Diesel,SUV,20251118,cars24
,,,,,,SUV,20251118,cars24
2024 Chery Tiggo 7 Pro MY24,https://www.cars24.com.au/buy-used-chery-tiggo-7-pro-car-19790906699520/,"$27,490",34k kms,Automatic,Petrol,SUV,20251118,cars24
2023 Toyota C-HR,https://www.cars24.com.au/buy-used-toyota-c-hr-car-18443036365760/,"$26,595",56k kms,Automatic,Petrol,SUV,20251118,cars24
2016 Mazda CX-5 MY16,https://www.cars24.com.au/buy-used-mazda-cx-5-car-19810167194048/,"$17,990",91k kms,Automatic,Petrol,SUV,20251118,cars24
2022 Mazda CX-9 MY23,https://www.cars24.com.au/buy-used-mazda-cx-9-car-19255890477952/,"$33,690",59k kms,Automatic,Petrol,SUV,20251118,cars24
2022 Mazda CX-3 MY22,https://www.cars24.com.au/buy-used-mazda-cx-3-car-19711270915136/,"$24,290",43k kms,Automatic,Petrol,SUV,20251118,cars24
2020 Hyundai Tucson MY21,https://www.cars24.com.au/buy-used-hyundai-tucson-car-19141859569920/,"$22,790",89k kms,Automatic,Petrol,SUV,20251118,cars24
2021 Volkswagen Tiguan MY21,https://www.cars24.com.au/buy-used-volkswagen-tiguan-car-19571176049024/,"$32,890",94k kms,Automatic,Petrol,SUV,20251118,cars24
2020 Toyota RAV4 MY20,https://www.cars24.com.au/buy-used-toyota-rav4-car-18939754694272/,"$31,590",48k kms,Automatic,Petrol,SUV,20251118,cars24
2020 Nissan X-trail MY20,https://www.cars24.com.au/buy-used-nissan-x-trail-car-19583688707840/,"$21,290",65k kms,Automatic,Petrol,SUV,20251118,cars24
2023 Toyota Corolla Cross MY23,https://www.cars24.com.au/buy-used-toyota-corolla-cross-car-19561571161216/,"$35,290",49k kms,Automatic,Hybrid,SUV,20251118,cars24
2022 Mazda CX-3 MY22,https://www.cars24.com.au/buy-used-mazda-cx-3-car-20058255510784/,"$24,990",29k kms,Automatic,Petrol,SUV,20251118,cars24
2023 Toyota RAV4 MY23,https://www.cars24.com.au/buy-used-toyota-rav4-car-19653296538112/,"$34,790",48k kms,Automatic,Petrol,SUV,20251118,cars24
2016 Mazda CX-9 MY17,https://www.cars24.com.au/buy-used-mazda-cx-9-car-19201574737920/,"$24,590",114k kms,Automatic,Petrol,SUV,20251118,cars24
2021 MG Zst MY21,https://www.cars24.com.au/buy-used-mg-zst-car-18782785144640/,"$19,190",48k kms,Automatic,Petrol,SUV,20251118,cars24
2016 Mazda CX-5 MY16,https://www.cars24.com.au/buy-used-mazda-cx-5-car-19810167194048/,"$17,990",91k kms,Automatic,Petrol,SUV,20251118,cars24
2013 Hyundai Ix35 MY14,https://www.cars24.com.au/buy-used-hyundai-ix35-car-18957148734912/,"$15,190",56k kms,Automatic,Petrol,SUV,20251118,cars24
2021 Mazda CX-3 MY21,https://www.cars24.com.au/buy-used-mazda-cx-3-car-19098237497600/,"$19,690",60k kms,Manual,Petrol,SUV,20251118,cars24
2021 Mazda CX-30 MY21,https://www.cars24.com.au/buy-used-mazda-cx-30-car-19561491861504/,"$32,890",13k kms,Automatic,Petrol,SUV,20251118,cars24
2022 Mazda CX-3 MY22,https://www.cars24.com.au/buy-used-mazda-cx-3-car-19711270915136/,"$24,290",43k kms,Automatic,Petrol,SUV,20251118,cars24
2017 Holden Trailblazer MY17,https://www.cars24.com.au/buy-used-holden-trailblazer-car-18938511272448/,"$25,990",93k kms,Automatic,Diesel,SUV,20251118,cars24
2020 Toyota RAV4,https://www.cars24.com.au/buy-used-toyota-rav4-car-18224718831936/,"$30,699",123k kms,Automatic,Hybrid,SUV,20251118,cars24
2021 MG Zst MY21,https://www.cars24.com.au/buy-used-mg-zst-car-18827506096640/,"$16,190",67k kms,Automatic,Petrol,SUV,20251118,cars24
2018 Kia Sportage MY18,https://www.cars24.com.au/buy-used-kia-sportage-car-19732843244352/,"$16,290",126k kms,Automatic,Petrol,SUV,20251118,cars24
