name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership
2009 Nissan Navara ST-X D40 4X4 Dual Range,/used-cars/for-sale/nissan/navara/2009/st-x/d40-4x4-dual-range/3647732,"$11,490","203,607 Kms",5 SP Automatic,Diesel,Ute,20251119,brisbaneautogroup
2013 Holden Ute  VF MY14,/used-cars/for-sale/holden/ute/2013/vf-my14/3645002,"$15,990","162,773 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,Ute,20251119,brisbaneautogroup
2016 Ford Ranger XLT PX MkII 4X4 Dual Range,/used-cars/for-sale/ford/ranger/2016/xlt/px-mkii-4x4-dual-range/3669864,"$21,990","263,302 Kms",6 SP Sports Automatic,Diesel,Ute,20251119,brisbaneautogroup
2018 Toyota Hilux Workmate TGN121R 4x2,/used-cars/for-sale/toyota/hilux/2018/workmate/tgn121r-4x2/3676057,"$21,990","138,333 Kms",5 SP Manual,Petrol - Unleaded ULP,Ute,20251119,brisbaneautogroup
2016 Ford Ranger XLS PX MkII 4X4 Dual Range,/used-cars/for-sale/ford/ranger/2016/xls/px-mkii-4x4-dual-range/3676617,"$21,990","277,124 Kms",6 SP Sports Automatic,Diesel,Ute,20251119,brisbaneautogroup
2015 Nissan Navara ST-X D23 4x2,/used-cars/for-sale/nissan/navara/2015/st-x/d23-4x2/3649165,"$23,990","142,869 Kms",7 SP Sports Automatic,Diesel,Ute,20251119,brisbaneautogroup
2013 Mazda BT-50 XT UP 4X4 Dual Range,/used-cars/for-sale/mazda/bt-50/2013/xt/up-4x4-dual-range/3682521,"$23,990","202,869 Kms",6 SP Manual,Diesel,Ute,20251119,brisbaneautogroup
2019 Toyota Hilux Workmate TGN121R 4x2,/used-cars/for-sale/toyota/hilux/2019/workmate/tgn121r-4x2/3687813,"$24,990","152,070 Kms",6 SP Sports Automatic,Petrol - Unleaded ULP,Ute,20251119,brisbaneautogroup
2011 Nissan Patrol DX GU 6 Series II 4X4 Dual Range,/used-cars/for-sale/nissan/patrol/2011/dx/gu-6-series-ii-4x4-dual-range/3660996,"$27,990","90,542 Kms",5 SP Manual,Diesel,Ute,20251119,brisbaneautogroup
2016 Ford Ranger Wildtrak PX MkII 4X4 Dual Range,/used-cars/for-sale/ford/ranger/2016/wildtrak/px-mkii-4x4-dual-range/3647006,"$28,990","176,009 Kms",6 SP Sports Automatic,Diesel,Ute,20251119,brisbaneautogroup
2019 Mitsubishi Triton GLS MR MY20 4X4 Dual Range,/used-cars/for-sale/mitsubishi/triton/2019/gls/mr-my20-4x4-dual-range/3685804,"$30,990","141,064 Kms",6 SP Sports Automatic,Diesel,Ute,20251119,brisbaneautogroup
2022 GWM Ute Cannon-X NPW 4X4 Dual Range,/used-cars/for-sale/gwm/ute/2022/cannon-x/npw-4x4-dual-range/3674392,"$31,990","19,960 Kms",8 SP Sports Automatic,Diesel,Ute,20251119,brisbaneautogroup
2018 Isuzu D-MAX LS-M MY18 4X4 Dual Range,/used-cars/for-sale/isuzu/d-max/2018/ls-m/my18-4x4-dual-range/3681780,"$36,990","96,793 Kms",6 SP Sports Automatic,Diesel,Ute,20251119,brisbaneautogroup
2020 Toyota Hilux Rogue GUN126R 4X4 Dual Range,/used-cars/for-sale/toyota/hilux/2020/rogue/gun126r-4x4-dual-range/3681955,"$36,990","247,012 Kms",6 SP Sports Automatic,Diesel,Ute,20251119,brisbaneautogroup
2021 Ford Ranger Raptor X PX MkIII MY21.75 4X4 Dual Range,/used-cars/for-sale/ford/ranger/2021/raptor-x/px-mkiii-my21.75-4x4-dual-range/3686955,"$49,990","114,456 Kms",10 SP Sports Automatic,Diesel,Ute,20251119,brisbaneautogroup
2017 Toyota Landcruiser Workmate VDJ79R 4X4 Dual Range,/used-cars/for-sale/toyota/landcruiser/2017/workmate/vdj79r-4x4-dual-range/3647741,"$54,990","196,520 Kms",5 SP Manual,Diesel,Ute,20251119,brisbaneautogroup
